¬ Text file converted with loc_parser
{your_citizens_killed}						Eure getöteten Bürger:
{senate_office_gained_body_greek}			THIS GREEK SENATE OFFICE GAINED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_office_gained_body_egyptian}		THIS EGYPTIAN SENATE OFFICE GAINED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_office_gained_body_eastern}			THIS EASTERN SENATE OFFICE GAINED TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!

{senate_office_lost_body_roman}			Der Senat hat sich gegen Eure Seite gewendet und betrachtet Sie nicht mehr länger voller Ehrfurcht. Ihr wurdet eines Senatspostens enthoben.
{senate_office_lost_body_barbarian}			THIS BARBARIAN SENATE OFFICE LOST TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_office_lost_body_carthaginian}		THIS CARTHAGINIAN SENATE OFFICE LOST TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_office_lost_body_greek}			THIS GREEK SENATE OFFICE LOST TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_office_lost_body_egyptian}			THIS EGYPTIAN SENATE OFFICE LOST TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!
{senate_office_lost_body_eastern}			THIS EASTERN SENATE OFFICE LOST TEXT SHOULD NEVER APPEAR ON SCREEN AND SHOULD NOT BE TRANSLATED!

{war_declared_non_player_body_roman}		Diese beiden niederen Völker haben sich gegenseitig den Krieg erklärt. Vielleicht verliert Rom auf diese Weise einen potentiellen Widersacher!
{war_declared_non_player_body_barbarian}		Diese beiden Völker befinden sich im Krieg. Mögen die Götter müde über ihre Anstrengungen lächeln und ihnen beiden das Verderben bringen!
{war_declared_non_player_body_carthaginian}		Diese Völker haben einander den Krieg erklärt. Vielleicht profitieren wir sogar davon, wenn sie sich gegenseitig schwächen und niederringen.
{war_declared_non_player_body_greek}		Diese Seiten haben sich den Krieg erklärt. Niemand kann sagen, wie dieser Konflikt enden wird.
{war_declared_non_player_body_egyptian}		Wenn es auch den weisen Pharao wenig kümmert, was andere Völker tun und lassen, so stellt er dennoch fest, dass diese beiden Seiten im Krieg miteinander liegen.
{war_declared_non_player_body_eastern}		Diese beiden Seiten haben sich gegenseitig den Krieg erklärt. Vielleicht erweist sich das Leid anderer als Vorteil für uns.

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 13/05/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************
{upgrade_settlement_to_city_body_barbarian}	Die Bevölkerung dieser Kleinstadt hat nun eine Größe erreicht, aufgrund derer Ihr sie zur Stadt verbessern könnt. Hierdurch wird der Bau neuer Gebäude ermöglicht. Um dies zu tun, müsst Ihr die Kriegerversammlung zu einem Thronsaal ausbauen. Ihr könnt dies auch später tun, doch wenn die Bevölkerung weiter wächst, nimmt durch die Überbevölkerung die Verschmutzung zu und verlangsamt dann das Wachstum.
{eagle_is_located}					Der Adler wurde in die folgende Siedlung gebracht:

{mission_sabotage_body_carthaginian}			Unser Agent hat unsere Rivalen viel Zeit und Gold gekostet, da seine Sabotage ein voller Erfolg war.
{mission_sabotage_body_greek}				Unser Agent hat erfolgreich in die Arbeit unserer Gegner eingegriffen, ihre Anstrengungen waren vergeblich!
{mission_sabotage_body_egyptian}			Unser Spion hat die Wünsche des Pharaos edel ausgeführt, jetzt verbirgt er sich im Schoß des Feindes!
{mission_sabotage_body_eastern}				Unser Spion hat seine Mission erfolgreich durchgeführt, unsere Gegner suchen immer noch vergeblich nach einem Schuldigen!


{mission_sabotage_fail_and_killed_body_roman}			Unser Attentäter ist bei dem Sabotageversuch gescheitert und war so unvorsichtig, dass er sogar sein Leben dabei verloren hat!
{mission_sabotage_fail_and_killed_body_barbarian}		Unser Agent hatte den guten Menschenverstand, zu sterben und so die Schande seines Versagens teilweise zu sühnen.
{mission_sabotage_fail_and_killed_body_carthaginian}		Es nützt uns wenig, wenn ein Agent es nicht schafft, Schaden anzurichten und selbst bei dem Versuch stirbt!
{mission_sabotage_fail_and_killed_body_greek}			Unser Mann ist bei seinem Sabotageversuch gescheitert - und hat die zusätzliche Schande erlitten, bei dem Scheitern ebenfalls zu sterben!
{mission_sabotage_fail_and_killed_body_egyptian}		Dieser Mann ist nicht nur bei seiner Mission gescheitert, sondern er hat sich ebenfalls dem Zorn des mächtigen Pharaos entzogen, indem er sein Leben verlor!
{mission_sabotage_fail_and_killed_body_eastern}		Dieser Mann hat Schlimmeres als nur den Tod für sein Versagen verdient, aber er hat sich der gerechten Strafe durch seinen Tod entzogen!
{mission_sabotage_fail_body_roman}				Der Sabotageversuch ist fehlgeschlagen, aber wenigstens konnte unser Agent die Gefangennahme durch die zahlreichen Wachen vermeiden!
{mission_sabotage_fail_body_barbarian}			Unserem Agenten ist es nicht gelungen, unseren Rivalen zu schaden, aber er hatte Glück, der Gefangennahme und dem Tod zu entgehen.
{mission_sabotage_fail_body_carthaginian}			Von dem jämmerlichen Versagen dieses Manns bei der Sabotage unseres Rivalen werden wir kaum profitieren!
{mission_sabotage_fail_body_greek}				Der Attentäter hat bei seiner Sabotage versagt, aber wenigstens hat er diese Misere überlebt ...
{mission_sabotage_fail_body_egyptian}			Zur großen und andauernden Enttäuschung des weisen Pharao hat dieser Mann seinen Sabotagebefehl nicht erfolgreich ausgeführt.
{mission_sabotage_fail_body_eastern}			Dieser Agent hat nichts sabotieren können, doch die aufmerksamen Wachen, die ihn aufhielten, konnten ihn glücklicherweise nicht fassen und töten.

{retraining_complete_body_roman}			Diese Einheit hat die Fortbildung abgeschlossen.
{retraining_complete_body_barbarian}			Diese Einheit hat die Fortbildung abgeschlossen.
{retraining_complete_body_carthaginian}			Diese Einheit hat die Fortbildung abgeschlossen.
{retraining_complete_body_greek}			Diese Einheit hat die Fortbildung abgeschlossen.
{retraining_complete_body_egyptian}			Diese Einheit hat die Fortbildung abgeschlossen.
{retraining_complete_body_eastern}			Diese Einheit hat die Fortbildung abgeschlossen.

{siege_ended}						Die Belagerung ist beendet und die Siedlung gefallen.

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 03/06/2004 16:48:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{player_faction_strongest_body_greek}			Die Armeen des Hellenismus sind die mächtigsten, die die Welt je gesehen hat; ein Wunder für alle, die ihre Ränge erblicken!

{player_faction_advanced_body_greek}			Hellenistische Größe wird demonstriert, auf dass sie in der ganzen Welt bekannt werde! Unsere Seite ist die fortschrittlichste!
{player_faction_advanced_body_carthaginian}			Unsere Seite hat keine wahren Rivalen! Wir sind das fortschrittlichste Volk aller Völker, die zu Land und zur See reisen!

{reinforcements_arrived_body_greek}				Neue Soldaten sind eingetroffen; sie wollen sich in der Schlacht als tapfer erweisen!
{reinforcements_arrived_body_roman}				Verstärkungen sind eingetroffen - ein willkommenes zusätzliches Bollwerk der römischen Macht und Tapferkeit!

{faction_defeated_body_roman}				Dieses einst mächtige Volk wurde besiegt. Ein weiteres Hindernis auf dem Weg zum Ruhm wurde beseitigt, ohne eine Bedrohung für römische Waffen zu sein!
{faction_defeated_body_barbarian}				Unsere Rivalen wurden niedergerungen. Wir müssen unser Gebiet verteidigen, wenn wir nicht vor seinem Bezwinger auf die Knie fallen wollen!
{faction_defeated_body_carthaginian}			Ein rivalisierendes Volk bereitet uns nicht länger Sorge. Sie wurden besiegt, und wenn wir jetzt schnell agieren, könnten wir davon profitieren!
{faction_defeated_body_greek}				Ein rivalisierendes Volk wurde besiegt. Wir sollten ein Auge auf unsere eigene Verteidigung werfen, denn das, was passiert ist, könnte sich wiederholen!
{faction_defeated_body_egyptian}				Der Pharao ist erfreut, dass ein rivalisierendes Volk in die Knie gezwungen wurde! Es dürften sich jetzt Vorteile bieten, da sich nur noch der Wind an ihren Namen erinnert!
{faction_defeated_body_eastern}				Unsere Rivalen wurden besiegt, und durch die Vernichtung eines schwachen Regimes bieten sich großartige Möglichkeiten für diejenigen, die die Courage haben, sie auszunutzen!

{mission_assassinate_fail_and_killed_body_roman}		Unser Attentäter ist tot - getötet von der aufmerksamen Leibwache - und sein Ziel ist noch am Leben!

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 17/06/2004 13:01:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{war_declared_non_player_body_roman}		Diese beiden niederen Völker haben sich gegenseitig den Krieg erklärt. Vielleicht verlieren wir auf diese Weise einen potentiellen Widersacher!
{war_declared_non_player_body_barbarian}	Diese beiden Völker befinden sich im Krieg. Mögen die Götter müde über ihre Anstrengungen lächeln und ihnen beiden Verderben und Schwäche bringen!
{war_declared_non_player_body_carthaginian}	Diese Völker haben einander den Krieg erklärt. Vielleicht profitieren wir sogar davon, wenn sie sich gegenseitig schwächen und niederringen.
{war_declared_non_player_body_greek}		Diese Seiten haben sich den Krieg erklärt. Niemand kann sagen, wie dieser Konflikt enden wird.
{war_declared_non_player_body_egyptian}		Wenn es auch den weisen Pharao wenig kümmert, was andere Völker tun und lassen, so stellt er dennoch fest, dass diese beiden Seiten im Krieg miteinander liegen.
{war_declared_non_player_body_eastern}		Diese beiden Seiten haben sich gegenseitig den Krieg erklärt. Vielleicht erweist sich das als Vorteil für uns.

{hidden_agent_detected_in_settlement_body_roman}		Ein gegnerischer Agent ist in dieser Siedlung entdeckt und hingerichtet worden. Wie traurig, dass die römische Tugend der Loyalität so sorglos von unseren Widersachern ausgenutzt wird!
{hidden_agent_detected_in_settlement_body_barbarian}		Es gab unter den Bürgern dieses Ortes einen verräterischen Agenten, der unseren Gegnern gegenüber loyal war und nun hingerichtet wurde. Es ist traurig, dass selbst einer von ihnen auf diese Weise beschützt wurde.
{hidden_agent_detected_in_settlement_body_carthaginian}		Es ist traurig, wenn ein Mann persönlichen Profit höher schätzt als Loyalität seinen Nachbarn und Freunden gegenüber. In dieser Siedlung ist ein Spion entdeckt und hingerichtet worden.
{hidden_agent_detected_in_settlement_body_greek}		Der Agent eines anderen Volkes ist in dieser Stadt gefunden und hingerichtet worden. Hätte er nicht aufgrund seines Mangels an Kultur und Intelligenz sofort auffallen müssen?
{hidden_agent_detected_in_settlement_body_egyptian}		Ein ausländischer Agent, der unter den loyalen Kindern des Pharao gelebt hat, ist entdeckt und als Lektion hingerichtet worden. Ihre Wachsamkeit muss wirklich schwach gewesen sein!
{hidden_agent_detected_in_settlement_body_eastern}		Ein übler Ausländer hat sich seinen Weg in die Herzen unserer Leute erschlichen. Sie müssen mit Wein betrunken gemacht worden sein, dass er damit durchgekommen ist, doch zum Glück wurde er hingerichtet!

{mission_sabotage_fail_and_killed_body_roman}			Unser Agent ist bei dem Sabotageversuch gescheitert und war so unvorsichtig, dass er sogar sein Leben dabei verloren hat!
{mission_sabotage_fail_and_killed_body_barbarian}		Unser Agent hatte den guten Menschenverstand, zu sterben und so die Schande seines Versagens teilweise zu sühnen.
{mission_sabotage_fail_and_killed_body_carthaginian}		Es nützt uns wenig, wenn ein Agent es nicht schafft, Schaden anzurichten und selbst bei dem Versuch stirbt!
{mission_sabotage_fail_and_killed_body_greek}			Unser Agent ist bei seinem Sabotageversuch gescheitert - und hat die zusätzliche Schande erlitten, bei seinem Scheitern ebenfalls zu sterben!
{mission_sabotage_fail_and_killed_body_egyptian}		Dieser Agent ist nicht nur bei seiner Mission gescheitert, sondern er hat sich ebenfalls dem Zorn des mächtigen Pharaos entzogen, indem er sein Leben verlor!
{mission_sabotage_fail_and_killed_body_eastern}			Dieser Agent hat Schlimmeres als nur den Tod für sein Versagen verdient, aber er hat sich der gerechten Strafe durch seinen Tod entzogen!

{mission_sabotage_fail_body_roman}				Der Sabotageversuch ist fehlgeschlagen, aber wenigstens konnte unser Agent die Gefangennahme durch die zahlreichen Wachen vermeiden!
{mission_sabotage_fail_body_barbarian}			Unserem Agenten ist es nicht gelungen, unseren Rivalen zu schaden, aber er hatte Glück, der Gefangennahme und dem Tod zu entgehen.
{mission_sabotage_fail_body_carthaginian}			Von dem jämmerlichen Versagen dieses Agenten bei der Sabotage unseres Rivalen werden wir kaum profitieren!
{mission_sabotage_fail_body_greek}				Der Agent hat bei seiner Sabotage versagt, aber wenigstens hat er diese Misere überlebt ...
{mission_sabotage_fail_body_egyptian}			Zur großen und andauernden Enttäuschung des weisen Pharao hat dieser Agent seinen Sabotagebefehl nicht erfolgreich ausgeführt.
{mission_sabotage_fail_body_eastern}			Dieser Agent hat nichts sabotieren können, doch die aufmerksamen Wachen, die ihn aufhielten, konnten ihn glücklicherweise nicht fassen und töten.

{war_declared_body_roman}				Diesem Volk wurde der Krieg erklärt. Es ist nun unser Feind!
{war_declared_body_barbarian}				Dieses Volk befindet sich nun in offener Feindschaft zu uns! Nun können unsere Krieger es offen angreifen und das falsche Gesicht des Friedens und der Freundschaft ablegen!
{war_declared_body_carthaginian}				Der Krieg ist eine ernsthafte und düstere Angelegenheit, aber manchmal resultiert aus der Gegenüberstellung von Vor- und Nachteilen, dass er erklärt und gewonnen werden muss!
{war_declared_body_greek}					Der Krieg ist eine edle Angelegenheit für tapfere Männer, und es ist gut, ihn mit einer ehrlichen und zivilisierten Erklärung zu beginnen!
{war_declared_body_egyptian}				Die Bedrohung der Ehre und des Ruhmes des Pharaos haben uns dazu geführt, dass wir diesem Volk den Krieg erklärt haben!
{war_declared_body_eastern}				Das Schwert ist aus der Scheide gezogen und der Schild von der Wand genommen worden. Der Krieg wurde erklärt!

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*		This particular divider does not denote a changes round.
¬*	This is when the files were locked to be sent for Russian and Polish translation.
¬*
¬*
¬***** Changes made after 01/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{new_bouncing_baby_body_barbarian}			Kinder sind ein Segen der Götter. Hoffen wir, dass sie lange leben und uns Ruhm bringen!
{new_bouncing_baby_body_carthaginian}			Tanit hat unsere Familie mit Nachwuchs gesegnet, der seinem Volk Wohlstand, Ehre und neue Fruchtbarkeit bringt.

{settlement_besieged_body_greek}				Rufen wir die Götter an, um hellenischen Waffen und hellenischem Mut den Segen der Stärke für die Belagerung zu geben!
{war_declared_on_ally_body_greek}				Unsere Verbündeten befinden sich nun im Krieg, ob hellenische Waffen in ihrem Sinne eingesetzt werden sollten, ist zu debattieren ...
{settlement_destroyed_body_greek}				Diese Siedlung ist komplett zerstört worden. Die Götter haben sich von uns abgewandt, der hellenische Mut allein reichte nicht aus, um diese Katastrophe zu verhindern.
{settlement_taken_body_greek}				Hellenischer Mut und Waffenfähigkeit hätten ausreichen sollen, aber jetzt untersteht die Siedlung nicht mehr unserer Herrschaft!
{building_repair_complete_body_greek}			Gute hellenische Architekten, Handwerker und Steinmetze haben dieses Gebäude repariert, jetzt leistet es wieder seinen Beitrag zum Leben in dieser Siedlung.
{general_killed_enemy_body_greek}				Ein würdiger Gegner ist nun tot; wahre Hellenen sollten seinen Tod betrauern, auch wenn sie ihn zu ihrem Vorteil nutzen werden!
{character_available_for_adoption_body_greek}		Dieser Mann hat das Potenzial zu beweisen, dass die Hellenen angeborene Qualitäten haben, die über die anderer Menschen hinausgehen. Er benötigt einen guten Patron, möchtet Ihr ihn adoptieren?
{adopta_general_offer_body_greek}				Dieser Kommandant hat seinen Wert in der Schlacht unter Beweis gestellt und könnte unter der richtigen Führung zu einem der nobelsten Hellenen werden. Möchtet Ihr ihn adoptieren?
{general_killed_ally_body_greek}				Ein loyaler Verbündeter ist nun tot; wahre Hellenen sollten seinen Tod betrauern, während sie sich gegen die Konsequenzen wappnen.
{recruitment_complete_many_body_greek}			Der Ruhm der hellenischen Kriegskunst wurde durch die Ausbildung der folgenden Einheiten verbessert:
{disaster_pirates_body_greek}				Die Händler sind zu Recht verärgert, dass ihre Schiffe von üblen Piraten angegriffen und ausgeraubt werden! Es ist ein trauriger Tag, wenn die Hellenen ihre Beherrschung der See nicht behaupten können!
{disaster_disorder_body_greek}				Eine gewisse Tendenz zur Debatte gab es immer unter den Hellenen. Die Leute dieser Siedlung sind jedoch sauer, aufsässig und unruhig - und sie könnten gegebenenfalls sogar die Rebellion planen!
{faction_defeated_body_greek}				Der hellenische Mut in der Schlacht hat seinen Anteil dazu beigetragen, dieses Volk niederzustrecken - Rivalen, die uns nun nicht mehr länger ärgern.
{new_faction_leader_body_greek}				Es gibt einen neuen Anführer der Hellenen, der allen die Vorzüge seiner Zivilisation - Weisheit und Wissen - bringen soll.
{naval_blockade_body_greek}				Diese Siedlung steht unter Blockade, eine direkte Herausforderung für die lange Tradition der hellenischen Überlegenheit zur See!
{new_faction_heir_body_greek}				Das hellenische Volk ist hocherfreut, da ein neuer Erbe des Anführers angekündigt wurde.
{army_revolt_body_greek}					Diese Armee zeigt alle Anzeichen wahrer Hellenen ... sie ist bereit, mit jedem über alles zu argumentieren und ihren rechtmäßigen Kommandanten zu widersprechen.
{faction_leader_imperator_body_greek}			Tyche lächelt wohlwollend auf uns nieder, da unser Anführer zum 'Imperator' der Römer ernannt worden ist. Dieser Titel muss vielen Römern in der Kehle stecken bleiben, wenn er von einem 'verweichlichten' Hellenen getragen wird!

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 07/07/2004 17:15:00
¬*
¬****************************************************************************************
¬****************************************************************************************

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 15/07/2004 17:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{hidden_agent_detected_in_settlement_body_roman}		Ein gegnerischer Agent ist entdeckt und hingerichtet worden. Wie traurig, dass die römische Tugend der Loyalität so sorglos von unseren Widersachern ausgenutzt wird!
{hidden_agent_detected_in_settlement_body_barbarian}		Es gab unter den Bürgern einen verräterischen Agenten, der unseren Gegnern gegenüber loyal war und nun hingerichtet wurde. Es ist traurig, dass selbst einer von ihnen auf diese Weise beschützt wurde.
{hidden_agent_detected_in_settlement_body_carthaginian}		Es ist traurig, wenn ein Mann persönlichen Profit höher schätzt als Loyalität seinen so genannten Nachbarn und Freunden gegenüber. Ein fremder Spion ist entdeckt und hingerichtet worden.
{hidden_agent_detected_in_settlement_body_greek}		Der Agent eines anderen Volkes ist gefunden und hingerichtet worden. Hätte er nicht aufgrund seines Mangels an Kultur und Intelligenz sofort auffallen müssen?
{hidden_agent_detected_in_settlement_body_egyptian}		Ein ausländischer Agent, der unter den loyalen Kindern des Pharao gelebt hat, ist entdeckt und als Lektion hingerichtet worden. Ihre Wachsamkeit muss wirklich schwach gewesen sein!
{hidden_agent_detected_in_settlement_body_eastern}		Ein übler Ausländer hat sich seinen Weg in die Herzen unserer Leute erschlichen. Sie müssen mit Wein betrunken gemacht worden sein, dass er damit durchgekommen ist, doch zum Glück wurde er hingerichtet!

{agent_detected_and_expelled_body_roman}			Ein feindlicher Agent wurde entdeckt und vertrieben. Ihm soll auf alle Zeit Nahrung, Wasser und die Wärme eines Feuers auf römischen Landen verwehrt bleiben!
{agent_detected_and_expelled_body_barbarian}			Ein hinterhältiger Diener unserer Feinde wurde entdeckt und ausgewiesen! Hoffentlich fallen die wilden Tiere über ihn her!
{agent_detected_and_expelled_body_carthaginian}			Ein listiger Agent wurde entdeckt und aus unserem Land verjagt! Möge er keine Vorteile aus dem ziehen, was er erlernt hat!
{agent_detected_and_expelled_body_greek}			Ein ausländischer Agent wurde entdeckt und aus der Gemeinschaft loyaler Griechen vertrieben. Hoffentlich kehrt er zu seinen spitzzüngigen Freunden zurück und belästigt uns nie mehr!
{agent_detected_and_expelled_body_egyptian}			Ein fremder Agent wurde unter den Dienern des Pharaos entdeckt und auf die Heimreise geschickt. Er soll sich glücklich schätzen, dass er sein Leben behalten durfte.
{agent_detected_and_expelled_body_eastern}			Ein falscher Agent wurde entdeckt und zu seinen Meistern zurückgeschickt. Er sollte dankbar sein, dass er sich der Bestrafung des Henkers entziehen konnte!

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 22/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{faction_defeated_body_roman}				Dieses einst mächtige Volk wurde besiegt. Ein Hindernis auf dem Weg zum Ruhm wurde beseitigt, wobei nun vielleicht bloß ein anderer Widersacher an dieselbe Stelle tritt.


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬*
¬***** Changes made after 29/07/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{building_captured_by_allies_body_roman}			Dieses Gebäude wurde von unseren treuen Verbündeten eingenommen! Mögen die Götter sie belohnen!
{building_captured_by_allies_body_barbarian}			Die Schwerter in den Händen unserer heroischen Verbündeten haben ihre blutige Arbeit getan, dieses Gebäude wurde eingenommen!
{building_captured_by_allies_body_carthaginian}			Das Gebäude wurde dank des Mutes unserer noblen Verbündeten eingenommen! 
{building_captured_by_allies_body_greek}			Das Gebäude wurde eingenommen. Ein Lob auf den Mut und das Waffengeschick unserer Verbündeten!
{building_captured_by_allies_body_egyptian}			Das Gebäude wurde von den Truppen unserer Verbündeten eingenommen. Ein würdiger Beitrag zum sicheren Sieg unseres Pharao!
{building_captured_by_allies_body_eastern}			Das Gebäude wurde galant von unseren Verbündeten eingenommen! Wir sollten sie reichlich belohnen und loben!

{marian_reform_body_roman}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!
{marian_reform_body_barbarian}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!
{marian_reform_body_carthaginian}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!
{marian_reform_body_greek}					THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!
{marian_reform_body_egyptian}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!
{marian_reform_body_eastern}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!

{settlement_bribed_body_roman}		Die Bevölkerung dieser Siedlung besitzt weder Würde noch Stolz, da sie sich selbst verkauft. Sie sind unwürdig und ihre neuen Herren werden keinen Gewinn aus ihren verseuchten Wohnungen ziehen!
{settlement_bribed_body_barbarian}		Die Bevölkerung dieser Siedlung hat ihre Ehre für die Versprechen fremder Schweine verkauft! Wir werden es nicht betrauern, wenn man sie wie die Hunde behandelt, die sie sein wollen!
{settlement_bribed_body_carthaginian}	Die Bewohner dieser armseligen Hütten haben sich an einen neuen Herren verkauft. Es sind Würmer, die es verdienen, dass man ihre Eingeweide unter der gleißenden Sonne verbrennt!
{settlement_bribed_body_greek}		Es ist unglaublich, dass sich Griechen auf diese Weise selbst in die Sklaverei verkaufen! Die Bevölkerung dieser Siedlung verdient die Abscheu der Götter! Ihr Verrat ist nur eines Barbaren würdig, der wie eine Ente quakt! 
{settlement_bribed_body_egyptian}		Die Kinder des Pharaos haben sich verkauft. Mögen Skorpione in ihren Mägen nisten und die Seuche sie von innen verzehren! Möge man sich ihrer neuen Herren nur erinnern wie einer Diebeshorde in der Nacht!
{settlement_bribed_body_eastern}		Die Bevölkerung dieses stinkenden Misthaufens hat sich selbst verkauft. Mögen sie die Geißeln und Peitschen ihrer neuen Herren lieben lernen!

{army_bribed_body_roman}			Es ist kaum zu glauben, dass ein römischer General seine Pflicht über Gold vergisst! Unsere Armee wurde für eine Hand voll billigem Schmuck verkauft!
{army_bribed_body_barbarian}		Ein Anführer unseres Volkes verkauft seine Männer, umarmt einen Fremden und nennt ihn seinen Herren! Wir leben in einer schrecklichen, finsteren Zeit!
{army_bribed_body_carthaginian}		Dieser Feigling hat seine Ehre und seine Leute für eine Hand voll Goldmünzen verkauft. Möge ihn der Wein, den er mit seinem Verräterlohn kauft, vergiften! Möge er keine Freude kennen, sondern nur ewige Furcht vor dem Dolch eines Attentäters!
{army_bribed_body_greek}			Nur ein kleingeistiger Helot verkauft sich selbst und seine Armee. Dieser Mann und seine Armee sind nicht besser als ungewaschene, Hosen tragende Barbaren!
{army_bribed_body_egyptian}		Das mächtige Herz des Pharaos wurde gebrochen, da eines seiner Kinder eine ganze Armee in den Dienst seines Rivalen führt. Jeder dieser Männer verdient es, dass bis in alle Ewigkeit eintausend Skorpione an seinen Eingeweiden kauen! 
{army_bribed_body_eastern}			Dieser Mann und seine Armee haben den persönlichen Profit ihrer Treue vorgezogen. Besser wäre es, wenn sie gestorben wären! Besser werden ihre Namen zu tausendjährigen Flüchen unseres Volkes, als dass wir diesen Verrat vergessen!

{character_bribed_body_roman}		Dieser Mann besitzt keine römische Ehre. Mögen seine neuen Herren den Tag bereuen, an dem sie diesen verruchten Verräter aufnahmen!
{character_bribed_body_barbarian}		Dieser Mann hat seine Ehre aufgegeben und mit ihr seinen Anspruch auf seinen Platz bei unserem Volk - ja, sogar sein Recht, wie ein Mann behandelt zu werden! Er hat sich verkauft wie eine Ziege auf dem Marktplatz!
{character_bribed_body_carthaginian}		Dieser Mann zog Reichtum dem Wohl seines Volkes vor! Wie eine versoffene Dirne hat er sich zum Vergnügen seiner neuen Herren verkauft! 
{character_bribed_body_greek}		Dieser Mann hat ohne Ehre und Würde gehandelt, wie ein Barbar, der nur das Glänzen des Goldes wahrnimmt und nur an seinen eigenen Vorteil denkt. Es ist unglaublich, dass er für Geld die Seite wechselt!
{character_bribed_body_egyptian}		Dieser Mann nahm das Geld der Feinde des Pharaos und verkaufte sich in die Sklaverei! Unser mächtiger Herrscher trauert, da sein Diener ihn so wenig liebte!
