¬ Text file converted with loc_parser							
{your_citizens_killed}					Cittadini uccisi:		
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 	
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*			
¬***** Changes made after 13/05/2004 09:00:00			
¬*			
¬****************************************************************************************			
¬****************************************************************************************			
{upgrade_settlement_to_city_body_barbarian}	La popolazione di questo borgo è cresciuta al punto da permetterti di farlo evolvere in città. Ciò ti consentirà di costruire nuove strutture. Per far questo devi sviluppare la dimora del guerriero in una dimora del re guerriero. Puoi posticiparne la costruzione, ma al crescere della popolazione l'eccessivo affollamento comincerà prima o poi ad aumentare il livello di squallore e a rallentare la crescita.				
{eagle_is_located}					L'aquila è stata portata nel seguente insediamento:

{mission_sabotage_body_carthaginian}			Il nostro agente è costato molto tempo e denaro ai rivali, e il suo sabotaggio è perfettamente riuscito.		
{mission_sabotage_body_greek}				Il nostro agente è riuscito a interferire nelle opere dei nemici, frustrando e vanificando i loro sforzi!	
{mission_sabotage_body_egyptian}				L'agente ha nobilmente compiuto il volere del Faraone e ora si nasconde nel seno stesso del nemico!	
{mission_sabotage_body_eastern}				Il nostro agente ha portato a termine la propria missione, e ora i nostri nemici stanno inutilmente cercando un colpevole!	


{mission_sabotage_fail_and_killed_body_roman}			Non solo il nostro agente non è riuscito a compiere il sabotaggio, ma è stato tanto incauto da farsi ammazzare! 		
{mission_sabotage_fail_and_killed_body_barbarian}		Il nostro agente ha avuto il buonsenso di farsi accoppare e lavare almeno in parte l'onta del suo patetico fallimento.			
{mission_sabotage_fail_and_killed_body_carthaginian}		C'è poco da guadagnare quando un agente non riesce a nuocere e si fa uccidere nel tentativo!			
{mission_sabotage_fail_and_killed_body_greek}			Il nostro uomo ha fallito il tentativo di sabotaggio e ha anche avuto la sventura di rimanere ucciso durante la missione!		
{mission_sabotage_fail_and_killed_body_egyptian}		Non solo quest'uomo ha fallito la propria missione, ma è altresì sfuggito alla legittima ira del potente Faraone facendosi ammazzare!			
{mission_sabotage_fail_and_killed_body_eastern}		Quest'uomo meritava ben più della semplice morte per il suo fallimento, ma è sfuggito alla giusta punizione facendosi incautamente uccidere!			
{mission_sabotage_fail_body_roman}				Il tentativo di sabotaggio è fallito, ma il nostro agente almeno è riuscito a scampare alla cattura da parte delle numerose guardie!	
{mission_sabotage_fail_body_barbarian}			Il nostro agente non è riuscito a danneggiare i nostri rivali, pur essendo abbastanza fortunato da sfuggire alla cattura e alla morte.			
{mission_sabotage_fail_body_carthaginian}			Ci sarà difficile trarre profitto dal patetico fallimento di quest'uomo nel sabotaggio delle proprietà dei nostri rivali!			
{mission_sabotage_fail_body_greek}				L'assassino non è riuscito a compiere alcun atto di sabotaggio, ma gli è di conforto il fatto di essersi salvato la pelle...		
{mission_sabotage_fail_body_egyptian}			Con grande disappunto del saggio Faraone, quest'uomo non è riuscito a portare a compimento i suoi ordini di sabotaggio.			
{mission_sabotage_fail_body_eastern}			Questo agente non è riuscito a sabotare nulla, ma ha avuto la fortuna di non essere catturato e ucciso delle guardie che l'avevano fermato.			

{retraining_complete_body_roman}			Questa unità ha terminato il riaddestramento.			
{retraining_complete_body_barbarian}			Questa unità ha terminato il riaddestramento.			
{retraining_complete_body_carthaginian}			Questa unità ha terminato il riaddestramento.			
{retraining_complete_body_greek}			Questa unità ha terminato il riaddestramento.			
{retraining_complete_body_egyptian}			Questa unità ha terminato il riaddestramento.			
{retraining_complete_body_eastern}			Questa unità ha terminato il riaddestramento.			

{siege_ended}						L'assedio è terminato, l'insediamento è caduto.

¬****************************************************************************************						
¬****************************************************************************************			
¬*			
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 	
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*			
¬***** Changes made after 03/06/2004 16:48:00			
¬*			
¬****************************************************************************************			
¬****************************************************************************************			

{player_faction_strongest_body_greek}			Le armate elleniche sono le più potenti che il mondo abbia mai veduto, un mirabile portento!

{player_faction_advanced_body_greek}			Tutto il mondo riconosce e ammira la grandezza ellenica! La nostra fazione è la più avanzata!
{player_faction_advanced_body_carthaginian}			La nostra fazione non ha rivali! Siamo il popolo più avanzato tra quelli che camminano sulla terra e solcano i mari!

{reinforcements_arrived_body_greek}				Sono giunti nuovi soldati, pronti a dar prova di sé in battaglia!
{reinforcements_arrived_body_roman}				Sono arrivati i rinforzi - un nuovo e gradito bastione di potenza e valore!

{faction_defeated_body_roman}				Questo popolo, un tempo potente, è stato annientato. Un altro ostacolo sulla via della gloria è stato rimosso, fortunatamente senza rischi per le armi romane!
{faction_defeated_body_barbarian}				I nostri rivali giacciono nella polvere. Dobbiamo difendere il nostro territorio se non vogliamo farci piegare dai loro stessi oppressori!
{faction_defeated_body_carthaginian}			Una popolazione rivale non turberà più i nostri concili. Essa è stata annientata, e se agiamo in fretta potremo approfittare della sua scomparsa!	
{faction_defeated_body_greek}				Un popolo rivale è stato annientato. Dovremo badare alle nostre difese, perché ciò che accade una volta può accadere di nuovo!
{faction_defeated_body_egyptian}				Il Faraone gioisce della caduta di una popolazione rivale! Potremmo ottenerne dei vantaggi, ora che solo il vento del deserto ricorda il suo nome!
{faction_defeated_body_eastern}				I nostri rivali sono vinti e la caduta del loro debole regno potrebbe portare grandi cambiamenti a chiunque abbia fiuto per il profitto e il coraggio di afferrarlo!

{mission_assassinate_fail_and_killed_body_roman}		Il nostro assassino è morto, ucciso dalle guardie di quest'uomo, mentre la sua vittima predestinata vive ancora!		

¬****************************************************************************************				
¬****************************************************************************************				
¬*				
¬*			THIS FILE GONE FOR LOCALISATION!!!	
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 	
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*			
¬***** Changes made after 17/06/2004 13:01:00			
¬*			
¬****************************************************************************************			
¬****************************************************************************************			

{war_declared_non_player_body_roman}		Queste due fazioni si sono dichiarate guerra. Forse potremmo liberarci di un nemico in seguito a questo conflitto.	
{war_declared_non_player_body_barbarian}		Queste due popolazioni sono ora in guerra. Possano gli dei farsi beffe dei loro sforzi e condurre entrambe alla sconfitta e alla rovina!	
{war_declared_non_player_body_carthaginian}	Questi popoli sono entrati in guerra, e noi potremmo sfruttare il loro stato di debolezza causato dagli sforzi bellici!		
{war_declared_non_player_body_greek}		Queste fazioni si sono dichiarate guerra. Chissà quale sarà l'esito di questo confronto?	
{war_declared_non_player_body_egyptian}		Benché il saggio Faraone non si curi di altri popoli, egli constata che queste due fazioni si sono dichiarate guerra.	
{war_declared_non_player_body_eastern}		Queste due fazioni si sono dichiarate guerra. Forse potremmo approfittare della situazione!	

{hidden_agent_detected_in_settlement_body_roman}		In questo insediamento è stato scoperto e giustiziato un agente nemico. È deplorevole che le virtù romane di fiducia e lealtà siano state sfruttate dai nostri nemici!	
{hidden_agent_detected_in_settlement_body_barbarian}		In questo insediamento è stato scoperto un agente fedele al nemico, ed è stato giustiziato. È triste che un uomo del genere abbia trovato rifugio presso la nostra gente.		
{hidden_agent_detected_in_settlement_body_carthaginian}	È ben triste quando un uomo antepone i propri interessi all'ospitalità e all'amicizia. Una spia è stata scoperta e giustiziata in questo insediamento.			
{hidden_agent_detected_in_settlement_body_greek}		L'agente di un altro popolo è stato smascherato e giustiziato in questa città. Di sicuro la sua innata mancanza di intelligenza e cultura l'ha tradito.		
{hidden_agent_detected_in_settlement_body_egyptian}		Un agente straniero è stato scoperto in mezzo ai leali figli del Faraone e giustiziato come monito. La vigilanza del popolo dev'essere stata assai carente!		
{hidden_agent_detected_in_settlement_body_eastern}		Un lurido agente straniero s'era fatto largo tra gli affetti della nostra gente. Egli deve averla stordita col vino per farsi accettare, ma fortunatamente è stato giustiziato!		

{mission_sabotage_fail_and_killed_body_roman}			Non solo il nostro agente ha fallito il tentativo di sabotaggio, ma è stato tanto incauto da farsi ammazzare! 	
{mission_sabotage_fail_and_killed_body_barbarian}		Il nostro uomo ha avuto il buonsenso di farsi ammazzare, lavando almeno in parte l'onta del suo patetico fallimento.		
{mission_sabotage_fail_and_killed_body_carthaginian}		C'è poco da guadagnare quando un agente non riesce a nuocere e si fa uccidere nel tentativo!		
{mission_sabotage_fail_and_killed_body_greek}			Il nostro agente ha fallito il tentativo di sabotaggio e ha avuto anche la sventura di rimanere ucciso durante la missione!	
{mission_sabotage_fail_and_killed_body_egyptian}		Non solo questo agente ha fallito la propria missione, ma è altresì sfuggito alla legittima ira del potente Faraone facendosi deliberatamente ammazzare!		
{mission_sabotage_fail_and_killed_body_eastern}		Questo agente meritava ben più della semplice morte per il suo fallimento, ma è sfuggito alla giusta punizione facendosi incautamente uccidere!		

{mission_sabotage_fail_body_roman}				Il tentativo di sabotaggio è fallito, ma il nostro agente è riuscito almeno a scampare alla cattura da parte di numerose guardie!
{mission_sabotage_fail_body_barbarian}			Il nostro uomo non è riuscito a danneggiare i nostri rivali, pur essendo abbastanza fortunato da sfuggire alla cattura e alla morte.	
{mission_sabotage_fail_body_carthaginian}			Ci sarà difficile trarre profitto dal patetico fallimento di questo agente nel sabotare le proprietà dei nostri rivali!	
{mission_sabotage_fail_body_greek}				L'agente non è riuscito a compiere alcun atto di sabotaggio, ma gli è di conforto il fatto di essersi salvato la pelle...	
{mission_sabotage_fail_body_egyptian}			Con grande disappunto del saggio Faraone, questo agente non è riuscito a portare a termine i suoi ordini di sabotaggio.		
{mission_sabotage_fail_body_eastern}			Questo agente non è riuscito a sabotare nulla, ma ha avuto la fortuna di non essere catturato e ucciso delle guardie che l'avevano fermato.		

{war_declared_body_roman}				Siamo entrati in guerra con questa gente.\nOra sono nostri nemici!	
{war_declared_body_barbarian}				Questo popolo è ora nostro nemico giurato! Adesso i nostri guerrieri possono apertamente attaccarlo mettendo da parte i vili sotterfugi della pace!	
{war_declared_body_carthaginian}				La guerra è un affare serio e poco proficuo, ma talvolta il bilancio tra guadagni e perdite richiede che essa debba essere dichiarata, e vinta!	
{war_declared_body_greek}					La guerra è una nobile impresa per uomini valorosi. Cominciarla con un'onesta e civile dichiarazione rappresenta la condotta più dignitosa!
{war_declared_body_egyptian}				Le minacce all'onore e alla gloria del Faraone ci hanno costretto a inviare una dichiarazione di guerra a questo popolo! 	
{war_declared_body_eastern}				La spada è stata sguainata dal fodero e lo scudo tolto dal muro. È guerra!	

¬****************************************************************************************					
¬****************************************************************************************					
¬*					
¬*			THIS FILE GONE FOR LOCALISATION!!!		
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 			
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!	
¬*				
¬*		This particular divider does not denote a changes round.		
¬*	This is when the files were locked to be sent for Russian and Polish translation.			
¬*				
¬*				
¬***** Changes made after 01/07/2004 09:00:00				
¬*				
¬****************************************************************************************				
¬****************************************************************************************				

{new_bouncing_baby_body_barbarian}			I figli sono una benedizione della dea. Speriamo che crescano e facciano onore al nostro popolo!	
{new_bouncing_baby_body_carthaginian}			Tanit ha benedetto la nostra famiglia con un nuovo nascituro, che porterà ricchezza, onore e nuova linfa vitale al nostro popolo.	

{settlement_besieged_body_greek}				Preghiamo gli dei affinché donino alle armi e al valore ellenico la forza necessaria per resistere a questo assedio!
{war_declared_on_ally_body_greek}				Ora i nostri alleati sono in guerra, ma se le armi elleniche debbano impegnarsi per la loro causa è materia di dibattito...
{settlement_destroyed_body_greek}				Questo insediamento è stato brutalmente raso al suolo. Gli dei ci hanno voltato le spalle, e il solo valore ellenico non è bastato a prevenire questa catastrofe.	
{settlement_taken_body_greek}				Il coraggio e l'abilità bellica ellenica sarebbero dovuti bastare, ma l'insediamento non è più nelle nostre mani!	
{building_repair_complete_body_greek}			Gli abili architetti, artigiani e muratori ellenici hanno riparato questa struttura, che ora funziona a pieno regime e contribuisce alla vita di questo insediamento.		
{general_killed_enemy_body_greek}				Un valoroso nemico è caduto e tutte le genti dell'Ellade dovrebbero piangere il suo decesso mentre progettano un modo per trarne vantaggio!	
{character_available_for_adoption_body_greek}		Quest'uomo ha le carte in regola per dimostrare che gli Elleni hanno qualità che vanno ben oltre quelle degli uomini normali. Ha solo bisogno di una guida: desideri adottarlo?			
{adopta_general_offer_body_greek}				Questo comandante si è dimostrato capace in battaglia e con la giusta guida potrebbe diventare uno tra i più nobili del popolo ellenico. Desideri adottarlo?	
{general_killed_ally_body_greek}				Un leale alleato è caduto, e tutto il popolo ellenico piange il suo trapasso, ma intanto si prepara ad affrontare le conseguenze.	
{recruitment_complete_many_body_greek}			La gloria delle armi elleniche è stata accresciuta dall'addestramento delle seguenti unità:		
{disaster_pirates_body_greek}				I mercanti sono adirati perché le loro navi vengano attaccate e saccheggiate da quei maledetti pirati! È ben triste quando il popolo ellenico non riesce a esercitare il proprio ruolo di signore dei mari!	
{disaster_disorder_body_greek}				Benché un certo grado di confronto di idee sia congenito nel popolo ellenico, la gente di questo insediamento è agitata, divisa e scontenta, e potrebbe persino progettare una ribellione!	
{faction_defeated_body_greek}				Il coraggio ellenico in battaglia ha giocato il proprio ruolo nella sconfitta di queste genti: rivali che ora non ci disturberanno mai più.	
{new_faction_leader_body_greek}				C'è un nuova guida a capo delle genti elleniche, un uomo che porterà il meglio della loro civiltà, saggezza e cultura a tutti gli altri.	
{naval_blockade_body_greek}				L'insediamento è soggetto a un blocco navale: una sfida diretta nei confronti alle migliori tradizioni che vedono il dominio ellenico dei mari!	
{new_faction_heir_body_greek}				Il popolo ellenico gioisce per la nomina di un nuovo erede al potere.	
{army_revolt_body_greek}					Questa armata mostra di essere composta da genti elleniche: fin troppo disposte a discutere con tutti e di tutto e a disubbidire ai legittimi comandanti!
{faction_leader_imperator_body_greek}			La dea Tyche ci sorride, giacché il nostro signore è stato dichiarato "Imperatore" di Roma, un titolo che andrà sicuramente di traverso a molti Romani, visto che dovrà essere portato da un membro della "decadente" razza ellenica!		

¬****************************************************************************************			
¬****************************************************************************************			
¬*			
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 	
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*			
¬*			
¬***** Changes made after 07/07/2004 17:15:00			
¬*			
¬****************************************************************************************			
¬****************************************************************************************			

¬****************************************************************************************			
¬****************************************************************************************			
¬*			
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 	
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*			
¬*			
¬***** Changes made after 15/07/2004 17:00:00			
¬*			
¬****************************************************************************************			
¬****************************************************************************************			

{hidden_agent_detected_in_settlement_body_roman}		Un agente nemico è stato scoperto e giustiziato. È sconfortante osservare il cinismo con cui i nostri nemici hanno approfittato della fiducia e della lealtà tipiche del nostro popolo.	
{hidden_agent_detected_in_settlement_body_barbarian}		Tra di noi c'era un traditore, un uomo servo del nemico; ora non c'è più. È così triste che anche un solo uomo così nauseabondo abbia potuto essere ospitato presso di noi.	
{hidden_agent_detected_in_settlement_body_carthaginian}	È triste quando un uomo antepone il proprio interesse personale a quello dei suoi "amici di confine". Una spia nemica è stata scoperta, e giustiziata.		
{hidden_agent_detected_in_settlement_body_greek}		Abbiamo scovato e giustiziato l'agente di un popolo straniero. L'avrà forse tradito la sua scarsa cultura o la mancanza di fine intelletto?	
{hidden_agent_detected_in_settlement_body_egyptian}		Una serpe straniera è stata snidata tra i figli del Faraone: la morte è stata per lui la giusta ricompensa. Il popolo non è stato abbastanza attento!	
{hidden_agent_detected_in_settlement_body_eastern}		Un sordido straniero si è insinuato tra i nostri fedeli sudditi. Storditi dalle abbondanti libagioni, si sono fatti irretire dai suoi modi... ma per fortuna è stato scoperto e decapitato!	

{agent_detected_and_expelled_body_roman}			Un agente nemico è stato scoperto ed espulso. Non riceverà né cibo, né acqua, né l'ospitalità di un focolare romano!
{agent_detected_and_expelled_body_barbarian}			Abbiamo trovato un viscido servo dei nostri nemici e l'abbiamo sbattuto fuori! Possa venire sbranato vivo dalle bestie selvagge!
{agent_detected_and_expelled_body_carthaginian}		Un insidioso agente è stato scoperto e cacciato fuori dalla nostra terra! E che tutto ciò che ha scoperto non gli serva a nulla!	
{agent_detected_and_expelled_body_greek}			Abbiamo scoperto ed espulso dalla confederazione greca un goffo e maldestro agente straniero. Torni pure dai suoi miseri conterranei, e non ci infastidisca più con la sua odiosa voce!
{agent_detected_and_expelled_body_egyptian}			Un agente straniero è stato scovato tra i servitori del Faraone e cacciato. Dovrebbe rendere grazie che la sua inutile vita sia stata risparmiata.
{agent_detected_and_expelled_body_eastern}			Abbiamo scovato un vile agente straniero e l'abbiamo ricacciato dal suo disgustosi padrone. Dovrebbe solo ringraziare che non gli siano state riservate le dolci attenzioni del boia!

¬****************************************************************************************			
¬****************************************************************************************			
¬*			
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 	
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*			
¬*				
¬***** Changes made after 22/07/2004 09:00:00				
¬*				
¬****************************************************************************************				
¬****************************************************************************************				

{faction_defeated_body_roman}				Questo popolo, un tempo potente, è stato sconfitto. Un ostacolo sulla via della gloria è stato rimosso, forse solo per essere rimpiazzato dai fautori della sua scomparsa.


¬****************************************************************************************				
¬****************************************************************************************				
¬*				
¬*			THIS FILE GONE FOR LOCALISATION!!!	
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 		
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!	
¬*				
¬*				
¬***** Changes made after 29/07/2004 09:00:00				
¬*				
¬****************************************************************************************				
¬****************************************************************************************				

{building_captured_by_allies_body_roman}			I nostri fedeli alleati hanno conquistato questa struttura! Che gli dei benedicano i loro sforzi!	
{building_captured_by_allies_body_barbarian}			Le spade dei nostri eroici alleati hanno fatto il proprio dovere, e questa struttura è stata conquistata!	
{building_captured_by_allies_body_carthaginian}			La struttura è stata conquistata grazie al coraggio dei nostri nobili alleati! 	
{building_captured_by_allies_body_greek}			La struttura è stata conquistata, un sicuro tributo al coraggio e all'abilità bellica dei nostri valenti alleati!	
{building_captured_by_allies_body_egyptian}			La struttura è stata conquistata dalle truppe alleate, un degno contributo all'inevitabile vittoria del Faraone!	
{building_captured_by_allies_body_eastern}			La struttura è stata valorosamente conquistata dai nostri alleati! Possano essi venire degnamente ricompensati!	

{marian_reform_body_roman}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!
{marian_reform_body_barbarian}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!
{marian_reform_body_carthaginian}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!
{marian_reform_body_greek}					THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!
{marian_reform_body_egyptian}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!	
{marian_reform_body_eastern}				THIS HISTORIC EVENT SHOULD BE REPLACED ON SCREEN WITH TEXT FROM ANOTHER FILE AND SHOULD NOT BE TRANSLATED!	

{settlement_bribed_body_roman}		Gli abitanti di questo insediamento hanno dignità e orgoglio tanto scarsi da vendere se stessi. Sono esseri indegni e i loro nuovi padroni non trarranno alcun profitto dai loro pulciosi tuguri!			
{settlement_bribed_body_barbarian}		La gente di questo insediamento ha venduto il proprio onore, cedendo alle vane promesse di porci forestieri! Non piangeremo certo nel vederli trattati come i cani che aspirano a essere!			
{settlement_bribed_body_carthaginian}	Gli abitanti di queste misere catapecchie si sono venduti a un altro signore. Sono dei vermi e meritano di essere esposti al sole impietoso con le viscere scoperte!				
{settlement_bribed_body_greek}		Che dei Greci si siano venduti in schiavitù è incredibile! Gli abitanti di questo insediamento meritano il disprezzo dell'Olimpo! Il loro vile tradimento è degno solo dei barbari che parlano idiomi strampalati! 			
{settlement_bribed_body_egyptian}		I figli del Faraone si sono venduti. Che gli scorpioni si annidino nelle loro viscere e la peste li divori dall'interno! Che i loro nuovi padroni siano ricordati come ladri notturni!			
{settlement_bribed_body_eastern}		Gli abitanti di questo puzzolente letamaio si sono venduti. Possano vivere per apprezzare il bastone e la frusta dei loro nuovi padroni!			

{army_bribed_body_roman}			Che un generale romano scordi il proprio dovere in cambio di vile denaro ha dell'incredibile! Le nostra armata è stata venduta e comprata per pugno di monete!		
{army_bribed_body_barbarian}		È impensabile che un condottiero del nostro popolo abbia venduto i propri uomini per strisciare ai piedi di un signore straniero! Viviamo giorni terribili e oscuri!			
{army_bribed_body_carthaginian}		Questo rinnegato ha venduto il proprio onore e i propri uomini per un pugno di monete. Che il vino acquistato col frutto del suo tradimento possa avvelenarlo! Che egli non riesca a godere di quest'oro, ma viva nel terrore di finire assassinato!			
{army_bribed_body_greek}			Vendere se stessi e la propria armata è un atto degno di uno spregevole ilota. Quest'uomo e i suoi soldati non sono migliori dei luridi barbari che indossano brache!		
{army_bribed_body_egyptian}		Il grande cuore del Faraone è spezzato nel sapere che uno dei suoi figli ha condotto un'intera armata al servizio del nemico. Quel cane meriterebbe che mille scorpioni divorassero le sue viscere per l'eternità! 			
{army_bribed_body_eastern}			Quest'uomo e la sua armata hanno anteposto il profitto personale alla lealtà. Meglio sarebbe stato se fossero morti. Il nostro popolo non può perdonare un simile atto di tradimento e i loro nomi verranno maledetti in eterno!

{character_bribed_body_roman}		Quest'uomo ha disonorato se stesso e Roma. Che i suoi nuovi padroni possano vivere fino a maledire il giorno in cui hanno accolto un simile mostro di falsità e perfidia nella loro casa!	
{character_bribed_body_barbarian}		Quest'uomo ha rinunciato all'onore, alla benevolenza del nostro popolo e a qualsiasi diritto di essere trattato come un vero uomo! Si è venduto, come un caprone al mercato!	
{character_bribed_body_carthaginian}		Quest'uomo ha anteposto il denaro al bene del suo popolo! Si è venduto come una prostituta avvinazzata per il piacere dei suoi nuovi padroni! 	
{character_bribed_body_greek}		Quest'uomo si è dimostrato privo di onore e dignità, come un barbaro che vede il luccichio dell'oro e pensa solo al proprio tornaconto. Rinnegare la propria gente per denaro! Da non credere!	
{character_bribed_body_egyptian}		Quest'uomo ha accettato il denaro dei nemici del Faraone e s'è venduto come uno schiavo! Il nostro grande signore piange nel sapere che il suo servo aveva così poco amore nei suoi confronti!	
{character_bribed_body_eastern}		Quest'uomo è diventato un cane vigliacco, uno schiavo altrui! Bambini ancora non nati ne malediranno il nome e pregheranno gli dei di punirlo per il suo tradimento!	

{betrayed_body_roman}			L'onore è la virtù non significano nulla per questa gente. Tradendoci, si sono dimostrati degni solo del nostro profondo disprezzo. Affonderemo le spade fino all'elsa nelle viscere di quei bugiardi! 
{betrayed_body_barbarian}			Questo popolo mente! Si sono rimangiati la parola e ci hanno tradito! Visto che hanno rinunciato alla nostra amicizia, udiranno le nostre grida di battaglia! 
{betrayed_body_carthaginian}		L'insolenza e la perfidia di questo popolo non conosce limiti! Come cani fatti impazzire dal sole si rivoltano contro di noi a fauci scoperte! Come cani impazziti vanno abbattuti perché la loro infezione non si diffonda!	
{betrayed_body_greek}			La perversa insolenza e la faccia tosta di questa gente supera ogni immaginazione! Gli stessi dei si vergognano che creature tanto perfide abbiano parvenze di uomini!
{betrayed_body_egyptian}			Il cuore del Faraone è spezzato a causa della perfidia di questa popolazione. Nessuna morte è troppo cruda, né fato troppo crudele per essa, ma persino gli alligatori del Nilo vomiterebbero le sue miserabili carni!
{betrayed_body_eastern}			Siamo stati traditi! La falsa maschera dell'amicizia è caduta rivelando le fattezze sifilitiche di un rivale! Almeno adesso sappiamo chiaramente chi sono i nostri veri nemici! 

{fort_bribed_body_roman}			La guarnigione ha dimenticato il proprio dovere. Non ha dimostrato di avere dignità, né virtù, né onore. Che i nomi di questi uomini siano maledetti in eterno!
{fort_bribed_body_barbarian}		Questo forte è stato venduto dagli uomini che avevano giurato di difenderlo! Essi non sono guerrieri, ma pecore, buone solo per la mannaia del macellaio! Maledetti siano i loro nomi! 	
{fort_bribed_body_carthaginian}		È ben triste quando una guarnigione antepone il profitto e al dovere. Ciò che hanno fatto questi uomini non andrà dimenticato né perdonato. 	
{fort_bribed_body_greek}			Un forte va difeso, non venduto al primo nemico di passaggio con la borsa piena! Possano gli dei punire chiunque sia coinvolto in questo miserabile accordo!
{fort_bribed_body_egyptian}			Questo forte è stato venduto dalla sua stessa guarnigione. Tale atto di tradimento è così grave che persino il Faraone impallidisce nel pensare a una punizione appropriata!
{fort_bribed_body_eastern}			Questo forte è stato venduto dagli uomini di guardia! Dov'è il loro onore? La loro brama di denaro è dunque tanto grande? Teniamo a mente i loro nomi e progettiamo la vendetta!

¬****************************************************************************************			
¬****************************************************************************************			
¬*			
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 	
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*			
¬*			
¬***** Changes made after 05/08/2004 12:00:00			
¬*			
¬****************************************************************************************			
¬****************************************************************************************			

{civil_war_possible_body_roman}		Il favore che godi tra il popolo di Roma è senza pari. La plebe ti acclamerebbe nuovo salvatore di Roma, semmai decidessi di marciare sulla città! È il momento di occuparsi dei vecchi del Senato e dei nemici nascosti tra le loro fila!	
{civil_war_possible_body_barbarian}		THIS TEXT SHOULD NEVER APPEAR AND SHOULDN'T BE TRANSLATED	
{civil_war_possible_body_carthaginian}	THIS TEXT SHOULD NEVER APPEAR AND SHOULDN'T BE TRANSLATED		
{civil_war_possible_body_greek}		THIS TEXT SHOULD NEVER APPEAR AND SHOULDN'T BE TRANSLATED	
{civil_war_possible_body_egyptian}		THIS TEXT SHOULD NEVER APPEAR AND SHOULDN'T BE TRANSLATED	
{civil_war_possible_body_eastern}		THIS TEXT SHOULD NEVER APPEAR AND SHOULDN'T BE TRANSLATED	

{roman_civil_war_brutii_start_notify_title}		I Valeri iniziano la guerra civile	
{roman_civil_war_julii_start_notify_title}		I Giuli iniziano la guerra civile	
{roman_civil_war_scipii_start_notify_title}		I Corneli iniziano la guerra civile	
{roman_civil_war_notify_foreigners_title}			Roma è in guerra!

{roman_civil_war_notify_foreigners}				Nei territori di Roma è scoppiata la guerra civile. Ora i Romani sono tanto assetati di sangue che si combattono l'un l'altro! Forse potremmo approfittare della loro follia!	
{roman_civil_war_brutii_start_notify}			I Valeri sono presuntuosi, crueli e infidi. Un conflitto tra Romani dovrebbe essere inconcepibile, ma i Valeri hanno dato inzio alla guerra civile. Affermano di voler salvare Roma, ma in realtà quegli ipocriti vogliono solo diventare i nuovi sovrani dell'Urbe!		
{roman_civil_war_julii_start_notify}			I perfidi Giuli hanno dichiarato guerra al Senato e al Popolo di Roma, gettando la Repubblica in un conflitto civile. La plebe li adora, ma gli dei saranno meno indulgenti!		
{roman_civil_war_scipii_start_notify}			Ritenendo erroneamente che gli dei li prediligano ad altri Romani, i Corneli hanno iniziato una guerra civile! Se non verranno ostacolati, essi si proclameranno sovrani del mondo romano!		

{you_have_been_outlawed}					Messo al bando dal Senato!
{rome_outlaws_brutii_notify_roman_title}			Messa al bando dei Valeri		
{rome_outlaws_julii_notify_roman_title}			Messa al bando dei Giuli		
