¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Дом Юлиев
{EMT_YOUR_FORCES_ATTACK_ARMY_SCYTHIA}					Ваши войска атаковали армию скифов
{EMT_YOUR_FORCES_ATTACK_ARMY_SPAIN}					Ваши войска атаковали армию испанцев
{EMT_YOUR_FORCES_ATTACK_ARMY_THRACE}					Ваши войска атаковали армию фракийцев
{EMT_YOUR_FORCES_ATTACK_ARMY_ALEMANNI}						Ваши войска атаковали армию алеманнов
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_EAST}					Ваши войска атаковали армию Восточной Империи
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_WEST}					Ваши войска атаковали армию Западной Империи
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_EAST_REBELS}				Ваши войска атаковали армию мятежников Восточной Империи
{EMT_YOUR_FORCES_ATTACK_ARMY_EMPIRE_WEST_REBELS}				Ваши войска атаковали армию мятежников Западной Империи
{EMT_YOUR_FORCES_ATTACK_ARMY_FRANKS}							Ваши войска атаковали армию франков
{EMT_YOUR_FORCES_ATTACK_ARMY_HUNS}						Ваши войска атаковали армию гуннов
{EMT_YOUR_FORCES_ATTACK_ARMY_SARMATIANS}						Ваши войска атаковали армию сарматов
{EMT_YOUR_FORCES_ATTACK_ARMY_SASSANIDS}						Ваши войска атаковали армию Сасанидов
{EMT_YOUR_FORCES_ATTACK_ARMY_SAXONS}							Ваши войска атаковали армию саксов
{EMT_YOUR_FORCES_ATTACK_ARMY_VANDALS}						Ваши войска атаковали армию вандалов
{EMT_YOUR_FORCES_ATTACK_ARMY_GOTHS}						Ваши войска атаковали армию готов
{EMT_YOUR_FORCES_ATTACK_ARMY_WHITE_HUNS}						Ваши войска атаковали армию белых гуннов
{EMT_YOUR_FORCES_ATTACK_ARMY_OSTROGOTHS}						Ваши войска атаковали армию остготов
{EMT_YOUR_FORCES_ATTACK_ARMY_ROMANO_BRITISH}					Ваши войска атаковали армию романо-британцев
{EMT_YOUR_FORCES_ATTACK_ARMY_SLAVS}							Ваши войска атаковали армию славян
{EMT_YOUR_FORCES_ATTACK_ARMY_SLAVE}						Ваши войска атаковали армию мятежников
{EMT_YOUR_FORCES_ATTACK_ARMY_CELTS}						Ваши войска атаковали армию кельтов
{EMT_YOUR_FORCES_ATTACK_ARMY_BERBERS}					Ваши войска атаковали армию берберов
{EMT_YOUR_FORCES_ATTACK_ARMY_MOORS}						Ваши войска атаковали армию мавров



{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_JULII}					Ваши войска атаковали флот Юлиев
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_BRUTII}					Ваши войска атаковали флот Брутов
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_SCIPII}					Ваши войска атаковали флот Сципионов
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANS_SENATE}					Ваши войска атаковали флот Сената
{EMT_YOUR_FORCES_ATTACK_NAVY_MACEDON}					Ваши войска атаковали флот Македонии
{EMT_YOUR_FORCES_ATTACK_NAVY_EGYPT}					Ваши войска атаковали флот Египта
{EMT_YOUR_FORCES_ATTACK_NAVY_SELEUCID}					Ваши войска атаковали флот империи Селевкидов
{EMT_YOUR_FORCES_ATTACK_NAVY_CARTHAGE}					Ваши войска атаковали флот Карфагена
{EMT_YOUR_FORCES_ATTACK_NAVY_PARTHIA}					Ваши войска атаковали флот Парфии
{EMT_YOUR_FORCES_ATTACK_NAVY_PONTUS}					Ваши войска атаковали флот Понта
{EMT_YOUR_FORCES_ATTACK_NAVY_GAULS}					Ваши войска атаковали флот галлов
{EMT_YOUR_FORCES_ATTACK_NAVY_GERMANS}					Ваши войска атаковали флот германцев
{EMT_YOUR_FORCES_ATTACK_NAVY_BRITONS}					Ваши войска атаковали флот британцев
{EMT_YOUR_FORCES_ATTACK_NAVY_ARMENIA}					Ваши войска атаковали флот Армении
{EMT_YOUR_FORCES_ATTACK_NAVY_DACIA}					Ваши войска атаковали флот Дакии
{EMT_YOUR_FORCES_ATTACK_NAVY_GREEK_CITIES}					Ваши войска атаковали флот греческих городов
{EMT_YOUR_FORCES_ATTACK_NAVY_NUMIDIA}					Ваши войска атаковали флот Нумидии
{EMT_YOUR_FORCES_ATTACK_NAVY_SCYTHIA}					Ваши войска атаковали флот скифов
{EMT_YOUR_FORCES_ATTACK_NAVY_SPAIN}					Ваши войска атаковали флот испанцев
{EMT_YOUR_FORCES_ATTACK_NAVY_THRACE}					Ваши войска атаковали флот фракийцев
{EMT_YOUR_FORCES_ATTACK_NAVY_ALEMANNI}				Ваши войска атаковали флот алеманнов
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_EAST}			Ваши войска атаковали флот Восточной Империи
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_WEST}			Ваши войска атаковали флот Западной Империи
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_EAST_REBELS}			Ваши войска атаковали флот мятежников Восточной Империи
{EMT_YOUR_FORCES_ATTACK_NAVY_EMPIRE_WEST_REBELS}			Ваши войска атаковали флот мятежников Западной Империи
{EMT_YOUR_FORCES_ATTACK_NAVY_FRANKS}				Ваши войска атаковали флот франков
{EMT_YOUR_FORCES_ATTACK_NAVY_HUNS}			Ваши войска атаковали флот гуннов
{EMT_YOUR_FORCES_ATTACK_NAVY_SARMATIANS}			Ваши войска атаковали флот сарматов
{EMT_YOUR_FORCES_ATTACK_NAVY_SASSANIDS}				Ваши войска атаковали флот Сасанидов
{EMT_YOUR_FORCES_ATTACK_NAVY_SAXONS}				Ваши войска атаковали флот саксов
{EMT_YOUR_FORCES_ATTACK_NAVY_VANDALS}				Ваши войска атаковали флот вандалов
{EMT_YOUR_FORCES_ATTACK_NAVY_GOTHS}				Ваши войска атаковали флот готов
{EMT_YOUR_FORCES_ATTACK_NAVY_WHITE_HUNS}			Ваши войска атаковали флот белых гуннов
{EMT_YOUR_FORCES_ATTACK_NAVY_OSTROGOTHS}			Ваши войска атаковали флот остготов
{EMT_YOUR_FORCES_ATTACK_NAVY_ROMANO_BRITISH}		Ваши войска атаковали флот романо-британцев
{EMT_YOUR_FORCES_ATTACK_NAVY_SLAVS}					Ваши войска атаковали флот славян
{EMT_YOUR_FORCES_ATTACK_NAVY_SLAVE}					Ваши войска атаковали флот мятежников
{EMT_YOUR_FORCES_ATTACK_NAVY_CELTS}					Ваши войска атаковали флот кельтов
{EMT_YOUR_FORCES_ATTACK_NAVY_BERBERS}					Ваши войска атаковали флот берберов
{EMT_YOUR_FORCES_ATTACK_NAVY_MOORS}					Ваши войска атаковали флот мавров

{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_JULII}					Ваши войска напали из засады на силы Юлиев
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_BRUTII}					Ваши войска напали из засады на силы Брутов
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_SCIPII}					Ваши войска напали из засады на силы Сципионов
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANS_SENATE}					Ваши войска напали из засады на силы Сената
{EMT_YOUR_FORCES_AMBUSH_ARMY_MACEDON}					Ваши войска напали из засады на силы Македонии
{EMT_YOUR_FORCES_AMBUSH_ARMY_EGYPT}					Ваши войска напали из засады на силы Египта
{EMT_YOUR_FORCES_AMBUSH_ARMY_SELEUCID}					Ваши войска напали из засады на силы империи Селевкидов
{EMT_YOUR_FORCES_AMBUSH_ARMY_CARTHAGE}					Ваши войска напали из засады на силы Карфагена
{EMT_YOUR_FORCES_AMBUSH_ARMY_PARTHIA}					Ваши войска напали из засады на силы Парфии
{EMT_YOUR_FORCES_AMBUSH_ARMY_PONTUS}					Ваши войска напали из засады на силы Понта
{EMT_YOUR_FORCES_AMBUSH_ARMY_GAULS}					Ваши войска напали из засады на силы галлов
{EMT_YOUR_FORCES_AMBUSH_ARMY_GERMANS}					Ваши войска напали из засады на силы германцев
{EMT_YOUR_FORCES_AMBUSH_ARMY_BRITONS}					Ваши войска напали из засады на силы британцев
{EMT_YOUR_FORCES_AMBUSH_ARMY_ARMENIA}					Ваши войска напали из засады на силы Армении
{EMT_YOUR_FORCES_AMBUSH_ARMY_DACIA}					Ваши войска напали из засады на силы Дакии
{EMT_YOUR_FORCES_AMBUSH_ARMY_GREEK_CITIES}					Ваши войска напали из засады на силы греческих городов
{EMT_YOUR_FORCES_AMBUSH_ARMY_NUMIDIA}					Ваши войска напали из засады на силы Нумидии
{EMT_YOUR_FORCES_AMBUSH_ARMY_SCYTHIA}					Ваши войска напали из засады на силы скифов
{EMT_YOUR_FORCES_AMBUSH_ARMY_SPAIN}					Ваши войска напали из засады на силы испанцев
{EMT_YOUR_FORCES_AMBUSH_ARMY_THRACE}					Ваши войска напали из засады на силы фракийцев
{EMT_YOUR_FORCES_AMBUSH_ARMY_ALEMANNI}				Ваши войска устроили засаду армии алеманнов
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_EAST}			Ваши войска устроили засаду армии Восточной Империи
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_WEST}			Ваши войска устроили засаду армии Западной Империи
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_EAST_REBELS}			Ваши войска устроили засаду армии мятежников Восточной Империи
{EMT_YOUR_FORCES_AMBUSH_ARMY_EMPIRE_WEST_REBELS}			Ваши войска устроили засаду армии мятежников Западной Империи
{EMT_YOUR_FORCES_AMBUSH_ARMY_FRANKS}				Ваши войска устроили засаду армии франков
{EMT_YOUR_FORCES_AMBUSH_ARMY_HUNS}			Ваши войска устроили засаду армии гуннов
{EMT_YOUR_FORCES_AMBUSH_ARMY_SARMATIANS}			Ваши войска устроили засаду армии сарматов
{EMT_YOUR_FORCES_AMBUSH_ARMY_SASSANIDS}				Ваши войска устроили засаду армии Сасанидов
{EMT_YOUR_FORCES_AMBUSH_ARMY_SAXONS}				Ваши войска устроили засаду армии саксов
{EMT_YOUR_FORCES_AMBUSH_ARMY_VANDALS}				Ваши войска устроили засаду армии вандалов
{EMT_YOUR_FORCES_AMBUSH_ARMY_GOTHS}				Ваши войска устроили засаду армии готов
{EMT_YOUR_FORCES_AMBUSH_ARMY_WHITE_HUNS}			Ваши войска устроили засаду армии белых гуннов
{EMT_YOUR_FORCES_AMBUSH_ARMY_OSTROGOTHS}			Ваши войска устроили засаду армии остготов
{EMT_YOUR_FORCES_AMBUSH_ARMY_ROMANO_BRITISH}		Ваши войска устроили засаду армии романо-британцев
{EMT_YOUR_FORCES_AMBUSH_ARMY_SLAVS}					Ваши войска устроили засаду армии славян
{EMT_YOUR_FORCES_AMBUSH_ARMY_SLAVE}					Ваши войска напали из засады на силы мятежников
{EMT_YOUR_FORCES_AMBUSH_ARMY_CELTS}					Ваши войска устроили засаду армии кельтов
{EMT_YOUR_FORCES_AMBUSH_ARMY_BERBERS}					Ваши войска устроили засаду армии берберов
{EMT_YOUR_FORCES_AMBUSH_ARMY_MOORS}					Ваши войска устроили засаду армии мавров


{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_JULII}					Ваши войска атакованы силами Юлиев
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_BRUTII}					Ваши войска атакованы силами Брутов
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_SCIPII}					Ваши войска атакованы силами Сципионов
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANS_SENATE}					Ваши войска атакованы силами Сената
{EMT_YOUR_FORCES_ATTACKED_ARMY_MACEDON}					Ваши войска атакованы силами Македонии
{EMT_YOUR_FORCES_ATTACKED_ARMY_EGYPT}					Ваши войска атакованы силами Египта
{EMT_YOUR_FORCES_ATTACKED_ARMY_SELEUCID}					Ваши войска атакованы силами империи Селевкидов
{EMT_YOUR_FORCES_ATTACKED_ARMY_CARTHAGE}					Ваши войска атакованы силами Карфагена
{EMT_YOUR_FORCES_ATTACKED_ARMY_PARTHIA}					Ваши войска атакованы силами Парфии
{EMT_YOUR_FORCES_ATTACKED_ARMY_PONTUS}					Ваши войска атакованы силами Понта
{EMT_YOUR_FORCES_ATTACKED_ARMY_GAULS}					Ваши войска атакованы силами галлов
{EMT_YOUR_FORCES_ATTACKED_ARMY_GERMANS}					Ваши войска атакованы силами германцев
{EMT_YOUR_FORCES_ATTACKED_ARMY_BRITONS}					Ваши войска атакованы силами британцев
{EMT_YOUR_FORCES_ATTACKED_ARMY_ARMENIA}					Ваши войска атакованы силами Армении
{EMT_YOUR_FORCES_ATTACKED_ARMY_DACIA}					Ваши войска атакованы силами Дакии
{EMT_YOUR_FORCES_ATTACKED_ARMY_GREEK_CITIES}					Ваши войска атакованы силами греческих городов
{EMT_YOUR_FORCES_ATTACKED_ARMY_NUMIDIA}					Ваши войска атакованы силами Нумидии
{EMT_YOUR_FORCES_ATTACKED_ARMY_SCYTHIA}					Ваши войска атакованы силами скифов
{EMT_YOUR_FORCES_ATTACKED_ARMY_SPAIN}					Ваши войска атакованы силами испанцев
{EMT_YOUR_FORCES_ATTACKED_ARMY_THRACE}					Ваши войска атакованы силами фракийцев
{EMT_YOUR_FORCES_ATTACKED_ARMY_ALEMANNI}				Ваши войска были атакованы армией алеманнов
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_EAST}				Ваши войска были атакованы армией Восточной Империи
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_WEST}				Ваши войска были атакованы армией Западной Империи
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_EAST_REBELS}				Ваши войска были атакованы армией мятежников Восточной Империи
{EMT_YOUR_FORCES_ATTACKED_ARMY_EMPIRE_WEST_REBELS}				Ваши войска были атакованы армией мятежников Западной Империи
{EMT_YOUR_FORCES_ATTACKED_ARMY_FRANKS}					Ваши войска были атакованы армией франков
{EMT_YOUR_FORCES_ATTACKED_ARMY_HUNS}				Ваши войска были атакованы армией гуннов
{EMT_YOUR_FORCES_ATTACKED_ARMY_SARMATIANS}				Ваши войска были атакованы армией сарматов
{EMT_YOUR_FORCES_ATTACKED_ARMY_SASSANIDS}				Ваши войска были атакованы армией Сасанидов
{EMT_YOUR_FORCES_ATTACKED_ARMY_SAXONS}					Ваши войска были атакованы армией саксов
{EMT_YOUR_FORCES_ATTACKED_ARMY_VANDALS}					Ваши войска были атакованы армией вандалов
{EMT_YOUR_FORCES_ATTACKED_ARMY_GOTHS}				Ваши войска были атакованы армией готов
{EMT_YOUR_FORCES_ATTACKED_ARMY_WHITE_HUNS}				Ваши войска были атакованы армией белых гуннов
{EMT_YOUR_FORCES_ATTACKED_ARMY_OSTROGOTHS}				Ваши войска были атакованы армией остготов
{EMT_YOUR_FORCES_ATTACKED_ARMY_ROMANO_BRITISH}			Ваши войска были атакованы армией романо-британцев
{EMT_YOUR_FORCES_ATTACKED_ARMY_SLAVS}					Ваши войска были атакованы армией славян
{EMT_YOUR_FORCES_ATTACKED_ARMY_SLAVE}					Ваши войска атакованы силами мятежников
{EMT_YOUR_FORCES_ATTACKED_ARMY_CELTS}					Ваши войска были атакованы армией кельтов
{EMT_YOUR_FORCES_ATTACKED_ARMY_BERBERS}					Ваши войска были атакованы армией берберов
{EMT_YOUR_FORCES_ATTACKED_ARMY_MOORS}					Ваши войска были атакованы армией мавров



{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_JULII}					Ваши войска атакованы флотом Юлиев
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_BRUTII}					Ваши войска атакованы флотом Брутов
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_SCIPII}					Ваши войска атакованы флотом Сципионов
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANS_SENATE}					Ваши войска атакованы флотом Сената
{EMT_YOUR_FORCES_ATTACKED_NAVY_MACEDON}					Ваши войска атакованы флотом Македонии
{EMT_YOUR_FORCES_ATTACKED_NAVY_EGYPT}					Ваши войска атакованы флотом Египта
{EMT_YOUR_FORCES_ATTACKED_NAVY_SELEUCID}					Ваши войска атакованы флотом империи Селевкидов
{EMT_YOUR_FORCES_ATTACKED_NAVY_CARTHAGE}					Ваши войска атакованы флотом Карфагена
{EMT_YOUR_FORCES_ATTACKED_NAVY_PARTHIA}					Ваши войска атакованы флотом Парфии
{EMT_YOUR_FORCES_ATTACKED_NAVY_PONTUS}					Ваши войска атакованы флотом Понта
{EMT_YOUR_FORCES_ATTACKED_NAVY_GAULS}					Ваши войска атакованы флотом галлов
{EMT_YOUR_FORCES_ATTACKED_NAVY_GERMANS}					Ваши войска атакованы флотом германцев
{EMT_YOUR_FORCES_ATTACKED_NAVY_BRITONS}					Ваши войска атакованы флотом британцев
{EMT_YOUR_FORCES_ATTACKED_NAVY_ARMENIA}					Ваши войска атакованы флотом Армении
{EMT_YOUR_FORCES_ATTACKED_NAVY_DACIA}					Ваши войска атакованы флотом Дакии
{EMT_YOUR_FORCES_ATTACKED_NAVY_GREEK_CITIES}					Ваши войска атакованы флотом греческих городов
{EMT_YOUR_FORCES_ATTACKED_NAVY_NUMIDIA}					Ваши войска атакованы флотом Нумидии
{EMT_YOUR_FORCES_ATTACKED_NAVY_SCYTHIA}					Ваши войска атакованы флотом скифов
{EMT_YOUR_FORCES_ATTACKED_NAVY_SPAIN}					Ваши войска атакованы флотом испанцев
{EMT_YOUR_FORCES_ATTACKED_NAVY_THRACE}					Ваши войска атакованы флотом фракийцев
{EMT_YOUR_FORCES_ATTACKED_NAVY_ALEMANNI}				Ваши войска были атакованы флотом алеманнов
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_EAST}				Ваши войска были атакованы флотом Восточной Империи
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_WEST}				Ваши войска были атакованы флотом Западной Империи
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_EAST_REBELS}				Ваши войска были атакованы флотом мятежников Восточной Империи
{EMT_YOUR_FORCES_ATTACKED_NAVY_EMPIRE_WEST_REBELS}				Ваши войска были атакованы флотом мятежников Западной Империи
{EMT_YOUR_FORCES_ATTACKED_NAVY_FRANKS}					Ваши войска были атакованы флотом франков
{EMT_YOUR_FORCES_ATTACKED_NAVY_HUNS}				Ваши войска были атакованы флотом гуннов
{EMT_YOUR_FORCES_ATTACKED_NAVY_SARMATIANS}				Ваши войска были атакованы флотом сарматов
{EMT_YOUR_FORCES_ATTACKED_NAVY_SASSANIDS}				Ваши войска были атакованы флотом Сасанидов
{EMT_YOUR_FORCES_ATTACKED_NAVY_SAXONS}					Ваши войска были атакованы флотом саксов
{EMT_YOUR_FORCES_ATTACKED_NAVY_VANDALS}					Ваши войска были атакованы флотом вандалов
{EMT_YOUR_FORCES_ATTACKED_NAVY_GOTHS}				Ваши войска были атакованы флотом готов
{EMT_YOUR_FORCES_ATTACKED_NAVY_WHITE_HUNS}				Ваши войска были атакованы флотом белых гуннов
{EMT_YOUR_FORCES_ATTACKED_NAVY_OSTROGOTHS}				Ваши войска были атакованы флотом остготов
{EMT_YOUR_FORCES_ATTACKED_NAVY_ROMANO_BRITISH}			Ваши войска были атакованы флотом романо-британцев
{EMT_YOUR_FORCES_ATTACKED_NAVY_SLAVS}					Ваши войска были атакованы флотом славян
{EMT_YOUR_FORCES_ATTACKED_NAVY_SLAVE}					Ваши войска атакованы флотом мятежников
{EMT_YOUR_FORCES_ATTACKED_NAVY_CELTS}					Ваши войска были атакованы флотом кельтов
{EMT_YOUR_FORCES_ATTACKED_NAVY_BERBERS}					Ваши войска были атакованы флотом берберов
{EMT_YOUR_FORCES_ATTACKED_NAVY_MOORS}					Ваши войска были атакованы флотом мавров


{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_JULII}					Ваша армия попала в засаду, устроенную войсками Юлиев
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_BRUTII}					Ваша армия попала в засаду, устроенную войсками Брутов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_SCIPII}					Ваша армия попала в засаду, устроенную войсками Сципионов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANS_SENATE}					Ваша армия попала в засаду, устроенную войсками Сената
{EMT_YOUR_FORCES_AMBUSHED_ARMY_MACEDON}					Ваша армия попала в засаду, устроенную войсками Македонии
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EGYPT}					Ваша армия попала в засаду, устроенную войсками Египта
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SELEUCID}					Ваша армия попала в засаду, устроенную войсками империи Селевкидов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_CARTHAGE}					Ваша армия попала в засаду, устроенную войсками Карфагена
{EMT_YOUR_FORCES_AMBUSHED_ARMY_PARTHIA}					Ваша армия попала в засаду, устроенную войсками Парфии
{EMT_YOUR_FORCES_AMBUSHED_ARMY_PONTUS}					Ваша армия попала в засаду, устроенную войсками Понта
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GAULS}					Ваша армия попала в засаду, устроенную войсками галлов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GERMANS}					Ваша армия попала в засаду, устроенную войсками германцев
{EMT_YOUR_FORCES_AMBUSHED_ARMY_BRITONS}					Ваша армия попала в засаду, устроенную войсками британцев
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ARMENIA}					Ваша армия попала в засаду, устроенную войсками Армении
{EMT_YOUR_FORCES_AMBUSHED_ARMY_DACIA}					Ваша армия попала в засаду, устроенную войсками Дакии
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GREEK_CITIES}					Ваша армия попала в засаду, устроенную войсками греческих городов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_NUMIDIA}					Ваша армия попала в засаду, устроенную войсками Нумидии
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SCYTHIA}					Ваша армия попала в засаду, устроенную войсками скифов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SPAIN}					Ваша армия попала в засаду, устроенную войсками испанцев
{EMT_YOUR_FORCES_AMBUSHED_ARMY_THRACE}					Ваша армия попала в засаду, устроенную войсками фракийцев
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ALEMANNI}				Ваши войска попали в засаду армии алеманнов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_EAST}				Ваши войска попали в засаду армии Восточной Империи
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_WEST}				Ваши войска попали в засаду армии Западной Империи
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_EAST_REBELS}				Ваши войска попали в засаду армии мятежников Восточной Империи
{EMT_YOUR_FORCES_AMBUSHED_ARMY_EMPIRE_WEST_REBELS}				Ваши войска попали в засаду армии мятежников Западной Империи
{EMT_YOUR_FORCES_AMBUSHED_ARMY_FRANKS}					Ваши войска попали в засаду армии франков
{EMT_YOUR_FORCES_AMBUSHED_ARMY_HUNS}				Ваши войска попали в засаду армии гуннов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SARMATIANS}				Ваши войска попали в засаду армии сарматов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SASSANIDS}				Ваши войска попали в засаду армии Сасанидов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SAXONS}					Ваши войска попали в засаду армии саксов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_VANDALS}					Ваши войска попали в засаду армии вандалов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_GOTHS}				Ваши войска попали в засаду армии готов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_WHITE_HUNS}				Ваши войска попали в засаду армии белых гуннов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_OSTROGOTHS}				Ваши войска попали в засаду армии остготов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_ROMANO_BRITISH}			Ваши войска попали в засаду армии романо-британцев
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SLAVS}					Ваши войска попали в засаду армии славян
{EMT_YOUR_FORCES_AMBUSHED_ARMY_SLAVE}					Ваша армия попала в засаду, устроенную войсками мятежников
{EMT_YOUR_FORCES_AMBUSHED_ARMY_CELTS}					Ваши войска попали в засаду армии кельтов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_BERBERS}					Ваши войска попали в засаду армии берберов
{EMT_YOUR_FORCES_AMBUSHED_ARMY_MOORS}					Ваши войска попали в засаду армии мавров


{EMT_VICTORY_ROMANS_JULII}		Победа Дома Юлиев
{EMT_VICTORY_ROMANS_BRUTII}		Победа Дома Брутов
{EMT_VICTORY_ROMANS_SCIPII}		Победа Дома Сципионов
{EMT_VICTORY_ROMANS_SENATE}		Победа Сената и граждан Рима
{EMT_VICTORY_MACEDON}			Победа македонян
{EMT_VICTORY_EGYPT}			Победа египтян
{EMT_VICTORY_SELEUCID}			Победа Селевкидов
{EMT_VICTORY_CARTHAGE}		Победа карфагенян
{EMT_VICTORY_PARTHIA}			Победа парфян
{EMT_VICTORY_PONTUS}			Победа понтийцев
{EMT_VICTORY_GAULS}			Победа галлов
{EMT_VICTORY_GERMANS}			Победа германцев
{EMT_VICTORY_BRITONS}			Победа британцев
{EMT_VICTORY_ARMENIA}			Победа армян
{EMT_VICTORY_DACIA}			Победа даков
{EMT_VICTORY_GREEK_CITIES}		Победа греков
{EMT_VICTORY_NUMIDIA}			Победа нумидийцев
{EMT_VICTORY_SCYTHIA}			Победа скифов
{EMT_VICTORY_SPAIN}			Победа испанцев
{EMT_VICTORY_THRACE}			Победа фракийцев
{EMT_VICTORY_ALEMANNI}			Победа алеманнов
{EMT_VICTORY_EMPIRE_EAST}		Победа Восточной Империи
{EMT_VICTORY_EMPIRE_WEST}		Победа Западной Империи
{EMT_VICTORY_EMPIRE_EAST_REBELS}	Победа мятежников Восточной Империи
{EMT_VICTORY_EMPIRE_WEST_REBELS}	Победа мятежников Западной Империи
{EMT_VICTORY_FRANKS}			Победа франков
{EMT_VICTORY_HUNS}			Победа гуннов
{EMT_VICTORY_SARMATIANS}		Победа сарматов
{EMT_VICTORY_SASSANIDS}		Победа Сасанидов
{EMT_VICTORY_SAXONS}			Победа саксов
{EMT_VICTORY_VANDALS}			Победа вандалов
{EMT_VICTORY_GOTHS}			Победа готов
{EMT_VICTORY_WHITE_HUNS}		Победа белых гуннов
{EMT_VICTORY_OSTROGOTHS}		Победа остготов
{EMT_VICTORY_ROMANO_BRITISH}		Победа романо-британцев
{EMT_VICTORY_SLAVS}			Победа славян
{EMT_VICTORY_SLAVE}			Победа мятежников
{EMT_VICTORY_BERBERS}			Победа берберов
{EMT_VICTORY_MOORS}			Победа мавров
{EMT_VICTORY_CELTS}			Победа кельтов

{EMT_VICTORY_DESCR_ROMANS_BRUTII}		Рим будет процветать под властью Брутов! Вы оправдали самые высокие ожидания. Меч сжат в крепком кулаке Брутов! В другой руке Брутов палка, при помощи которой они будут править всем миром! Именно за это Бруты боролись долгие годы, и они наконец добились своего!
{EMT_VICTORY_DESCR_ROMANS_JULII}		Этот момент стоит посмаковать! Рим и Империя - в сущности, весь мир - лежат у ваших ног, а граждане Рима любят вас! Старые бабы из Сената больше не будут беспокоить вас. Ваши враги слабы, испуганы и разбиты. Победа ваша - наслаждайтесь честно заслуженными браздами правления!
{EMT_VICTORY_DESCR_ROMANS_SCIPII}		Великий дом Сципионов благословлен богами и вашим великолепным руководством! Победа сладка, и все римляне могут спать спокойно, зная, что мы правим Империей и защищаем ее от всех врагов. Римские армии - армии Сципионов - контролируют империю, которая охватила полмира! Победа ваша!
