¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Римские
{SMT_MISSION_APPEASE_FACTION_EXPIRY}					Выполнение этого задания больше не требуется. Задание отменено.
{SMT_MISSION_APPEASE_FACTION_FAILURE}					Сенат недоволен тем, что вам не удалось выполнить это задание.
{SMT_MISSION_APPEASE_FACTION_SUCCESS}					Сенат благодарит вас за успешное достижение соглашения, о котором мы просили.
{SMT_MISSION_PROVOKE_ATTACK_TITLE}					Спровоцировать атаку
{SMT_MISSION_PROVOKE_ATTACK_PROPOSAL}					Сенат просит вас направить дипломата в эту фракцию и посмотреть, нельзя ли спровоцировать их атаковать нас. Рим хочет начать войну с ними, но не желает выглядеть агрессором.
{SMT_MISSION_PROVOKE_ATTACK_EXPIRY}					Выполнение этого задания больше не требуется. Задание отменено.
{SMT_MISSION_PROVOKE_ATTACK_FAILURE}					Сенат отмечает, что вам не удалось вызвать агрессию этой фракции, но благодарит вас за ваши усилия.
{SMT_MISSION_PROVOKE_ATTACK_SUCCESS}					Сенат благодарит вас за то, что вам удалось спровоцировать военные действия.
{SMT_MISSION_PEACE_TALKS_TITLE}						Мирные переговоры
{SMT_MISSION_PEACE_TALKS_PROPOSAL}					Сенат просит вас направить дипломата в эту фракцию и попытаться улучшить отношения с ней. Неважно, какого именно результата вы достигнете - хватит и того, что вы просто направите к ним дипломата.
{SMT_MISSION_PEACE_TALKS_EXPIRY}					Выполнение этого задания больше не требуется. Задание отменено.
{SMT_MISSION_PEACE_TALKS_FAILURE}					Сенат отмечает, что вам не удалось установить дипломатические связи с этой фракцией.
{SMT_MISSION_PEACE_TALKS_SUCCESS}					Сенат благодарит вас за ваши усилия по улучшению отношений с этой фракцией.
{SMT_MISSION_BLOCKADE_TITLE}						Блокада порта
{SMT_MISSION_BLOCKADE_PROPOSAL}						Сенат просит вас направить одну из ваших флотилий, чтобы блокировать этот порт. Таким образом мы усилим давление на эту фракцию, поскольку сократим их доходы.
{SMT_MISSION_BLOCKADE_EXPIRY}						Блокада порта больше не требуется. Задание отменяется.
{SMT_MISSION_BLOCKADE_FAILURE}						Сенат отмечает что вам не удалось блокировать этот порт, как мы просили. Это усилит вражеское сопротивление Риму.
{SMT_MISSION_BLOCKADE_SUCCESS}						Сенат отмечает, что вы установили блокаду, о которой мы вас просили. Пожалуйста, оставьте флотилию там по меньшей мере на 2 года.
{SMT_MISSION_INCITE_UNREST_TITLE}					Провоцирование волнений
{SMT_MISSION_INCITE_UNREST_PROPOSAL}					Сенат усматривает возможность создать проблемы для врагов Рима, вызвав волнения в этом поселении. Направьте туда шпиона и постарайтесь вызвать восстание.
{SMT_MISSION_INCITE_UNREST_EXPIRY}					В свете последних событий восстание в этом поселении больше не требуется. Задание отменяется.
{SMT_MISSION_INCITE_UNREST_FAILURE}					Сенат ждал запланированного восстания в этом поселении, а оно не произошло. Мы рассматриваем это, как ваше упущение.
{SMT_MISSION_INCITE_UNREST_SUCCESS}					Очень хорошо, что в этом поселении началось восстание. Ваше участие в этом деле делает вам честь.
{SMT_MISSION_EXTERMINATE_CITY_TITLE}					Уничтожение поселения
{SMT_MISSION_EXTERMINATE_CITY_PROPOSAL}					Сенат просит вас занять это поселение и уничтожить население.
{SMT_MISSION_EXTERMINATE_CITY_EXPIRY}					Сенат больше не нуждается в том, чтобы вы брали это поселение.
{SMT_MISSION_EXTERMINATE_CITY_FAILURE}					Сенат недоволен тем, что вам не удалось выполнить это задание.
{SMT_MISSION_EXTERMINATE_CITY_SUCCESS}					Сенат доволен тем, что вы успешно справились с этим заданием.
{SMT_MISSION_ENSLAVE_CITY_TITLE}					Порабощение поселения
{SMT_MISSION_ENSLAVE_CITY_PROPOSAL}					Сенат просит вас занять это поселение и обратить население в рабство.
{SMT_MISSION_ENSLAVE_CITY_EXPIRY}					Сенат больше не нуждается в том, чтобы вы брали это поселение.
{SMT_MISSION_ENSLAVE_CITY_FAILURE}					Сенат недоволен тем, что вам не удалось выполнить это задание.
{SMT_MISSION_ENSLAVE_CITY_SUCCESS}					Сенат доволен тем, что вы успешно справились с этим заданием.
{SMT_STATE_ICON_RESOURCES}						Горное дело
{SMT_AUTOMANAGE_SETTLEMENT}						Автоматически управлять этим поселением
{SMT_CANNOT_RECRUIT_WHILST_IN_BATTLE}				Невозможно нанимать войска во время битвы
{SMT_VICTORY_CONDITION_IMPERATOR_TITLE}				Император:
{SMT_VICTORY_CONDITION_IMPERATOR_DESCR}				Стать полновластным правителем Рима
{SMT_VICTORY_CONDITION_LAND_OWNER_TITLE}				Господство:
{SMT_VICTORY_CONDITION_LAND_OWNER_DESCR}				Захватить еще %d регионов
{SMT_VICTORY_CONDITION_TYCOON_TITLE}				Финансовый магнат:
{SMT_VICTORY_CONDITION_TYCOON_DESCR}				Постройте финансовую империю, чтобы за ход получать %d динариев
{SMT_VICTORY_CONDITION_TIME_LIMIT_TITLE}				На время:
{SMT_VICTORY_CONDITION_TIME_LIMIT_DESCR}				Стать самой мощной фракцией за %d ходов
{SMT_VICTORY_CONDITION_OUTLIVE_FACTIONS_TITLE}			Выживание:
{SMT_VICTORY_CONDITION_OUTLIVE_FACTIONS_DESCR}			Пережить следующие фракции:
{SMT_CAMPAIGN_VICTORY_CONDITIONS}					Условия победы
{SMT_CAMPAIGN_VICTORY_CONDITIONS_COMPLETE}			Выполнены

{SMT_CAPABILITY_POPULATION_GROWTH_BONUS}		Изменение роста населения:
{SMT_CAPABILITY_POPULATION_LOYALTY_BONUS}		Улучшение общественного порядка:
{SMT_CAPABILITY_POPULATION_HEALTH_BONUS}		Улучшение общественного здоровья:
{SMT_CAPABILITY_TRADE_BASE_INCOME_BONUS}		Увеличение количества товаров
{SMT_CAPABILITY_TRADE_LEVEL_BONUS}			Рост торговли
{SMT_CAPABILITY_TRADE_FLEET}				Доступные торговые флотилии:
{SMT_CAPABILITY_TAXABLE_INCOME_BONUS}		Улучшение налоговых поступлений:
{SMT_CAPABILITY_MINE_RESOURCE}			Доход от горного дела:
{SMT_CAPABILITY_FARMING_LEVEL}			Улучшенное производство пищи
{SMT_CAPABILITY_ROAD_LEVEL}				Улучшенные дороги и торговля
{SMT_CAPABILITY_GATE_STRENGTH}			Улучшенная сила ворот
{SMT_CAPABILITY_GATE_DEFENSES}			Дополнительные укрепления ворот
{SMT_CAPABILITY_TOWER_LEVEL}				Дополнительные укрепления стен
{SMT_CAPABILITY_ARMOUR}					Совершенствование доспехов: 
{SMT_CAPABILITY_STAGE_GAMES}				Позволяет проводить гладиаторские игры
{SMT_CAPABILITY_STAGE_RACES}				Позволяет проводить гонки
{SMT_CAPABILITY_POPULATION_FIRE_RISK_BONUS}	Сокращает риск пожара
{SMT_CAPABILITY_WEAPON_SIMPLE}			Совершенствует оружие ближнего боя:
{SMT_CAPABILITY_WEAPON_MISSILE}			Совершенствует стрелковое оружие:
{SMT_CAPABILITY_WEAPON_BLADED}			Совершенствует клинковое оружие:
{SMT_CAPABILITY_WEAPON_SIEGE}				Совершенствует осадное оружие:
{SMT_CAPABILITY_WEAPON_OTHER}				Upgrades other weapons:
{SMT_CAPABILITY_BODYGUARD}				Улучшенные телохранители полководца
{SMT_CAPABILITY_RECRUITS_MORALE_BONUS}		Улучшение боевого духа войск, обучавшихся здесь:
{SMT_CAPABILITY_RECRUITS_EXPERIENCE_BONUS}	Улучшение опыта войск, обучавшихся здесь:
{SMT_CAPABILITY_HAPPINESS_BONUS}			Улучшение порядка, вызванное счастьем народа:
{SMT_CAPABILITY_LAW_BONUS}				Улучшение общественного порядка вызванное законностью:
{SMT_CAPABILITY_CONSTRUCTION_COST_BONUS_MILITARY}	<< THIS TEXT SHOULDN'T BE DISPLAYED >>
{SMT_CAPABILITY_CONSTRUCTION_COST_BONUS_RELIGIOUS}	<< THIS TEXT SHOULDN'T BE DISPLAYED >>
{SMT_CAPABILITY_CONSTRUCTION_COST_BONUS_DEFENSIVE}	<< THIS TEXT SHOULDN'T BE DISPLAYED >>
{SMT_CAPABILITY_CONSTRUCTION_COST_BONUS_OTHER}		<< THIS TEXT SHOULDN'T BE DISPLAYED >>
{SMT_CAPABILITY_CONSTRUCTION_TIME_BONUS_MILITARY}	<< THIS TEXT SHOULDN'T BE DISPLAYED >>
{SMT_CAPABILITY_CONSTRUCTION_TIME_BONUS_RELIGIOUS}	<< THIS TEXT SHOULDN'T BE DISPLAYED >>
{SMT_CAPABILITY_CONSTRUCTION_TIME_BONUS_DEFENSIVE}	<< THIS TEXT SHOULDN'T BE DISPLAYED >>
{SMT_CAPABILITY_CONSTRUCTION_TIME_BONUS_OTHER}		<< THIS TEXT SHOULDN'T BE DISPLAYED >>
{SMT_CAPS_LOC_TRAINS}						Разрешает обучение:
{SMT_CAPS_LOC_RECRUITS}						Разрешает найм:
{SMT_CAPS_LOC_PROVIDES}						Обеспечивает
{SMT_ENEMY_AMBUSH_FAILED}					Их попытка застать вас врасплох не удалась, так что у вас есть время подготовиться к битве
{SMT_ENEMY_AMBUSH_SUCCESS}					Вас застали врасплох, и у вас не будет времени подготовиться к атаке
{SMT_YOUR_AMBUSH_FAILED}					Засада не удалась, и у врагов будет время, чтобы подготовиться к битве
{SMT_YOUR_AMBUSH_SUCCESS}					Враги ничего не знали об атаке, и у них нет времени готовиться к ней
{SMT_NO_UNITS_IN_NAVY}					В этом флоте нет соединений 
{SMT_NO_UNITS_IN_ARMY}					В этой армии нет соединений
{SMT_NO_CHARACTERS_WITH_NAVY}				С этим флотом не путешествуют персонажи
{SMT_NO_CHARACTERS_WITH_ARMY}				С этой армией не путешествуют персонажи
{SMT_NO_UNITS_TRANSPORTED}				Этот флот не перевозит соединений
{SMT_NO_UNITS_IN_GARRISON}				В гарнизоне нет соединений
{SMT_NO_BUILDINGS_IN_SETTLEMENT}			Здесь нет зданий
{SMT_NO_VISITORS_IN_SETTLEMENT}			В этом поселении нет гостей
{SMT_NO_VISITORS_IN_FORT}				В этом форте нет гостей
{SMT_STATE_ICON_UNIT_RECRUITS}			Население прошло призыв
{SMT_STATE_ICON_GOVERNORS_INFLUENCE}		Влияние правителя
{SMT_LAND_IMPORTS}					Импорт (Наземная торговля)
{SMT_RETAINERS}							Вспомогательные
{SMT_RETAINERS_UNKNOWN}					Помощники неизвестны
{SMT_TRAITS_UKNOWN}					Особенности неизвестны

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 21/04/2004 17:30:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{SMT_DIED}							Смерть:
{SMT_NO_BUILDING_IN_NEED_OF_REPAIR}			Нет зданий, нуждающихся в ремонте
{SMT_NO_UNITS_NEED_RETRAINING}				Нет соединений, нуждающихся в переобучении.
{SMT_VICES}						Характеристики
{SMT_SHOW_VNV_DETAILS}				Показать личные особенности персонажа
{SMT_SHOW_VISITORS_FORT}				Показать персонажей, посещающих этот форт
{SMT_END_SIEGE}						Снять осаду
{SMT_DECLINE_MISSION}					Отклонить задание
{SMT_EXIT_CAMPAIGN}					Вернуться в главное меню
{SMT_SELECT_UNIT_TO_REPAIR}				Выделить соединение для переобучения
{SMT_SENATE_OFFICE_QUAESTOR_DESCRIPTION}		Низшая должность -- этот магистрат ведает казной и дает самые первые задания людям, мечтающим о политической карьере в Риме.
{SMT_SENATE_OFFICE_AEDILE_DESCRIPTION}			Административный чиновник, надзирающий за улицами, храмами и жилыми кварталами города и за доставкой cura annonae -- стратегического запаса зерна.
{SMT_SENATE_OFFICE_PRAETOR_DESCRIPTION}		Магистрат, в чьи обязанности входит поддержание закона и порядка, и в частности ius civile (гражданские, а не уголовные преступления) и ius gentium (законы, имеющие отношение к иностранцам). 
{SMT_SENATE_OFFICE_CONSUL_DESCRIPTION}			Занимающий самую почетную и влиятельную должность в Республике, консул управляет магистратами, армией, законотворческой деятельностью. Находясь на службе он -- царь во всем, кроме названия. 
{SMT_SENATE_OFFICE_CENSOR_DESCRIPTION}			Важный магистрат, контролирующий соблюдение ценза и хранящий списки римских граждан и сенаторов. Это означает, что именно цензор может определить, кто является римлянином, а кто нет, кто является сенатором, а кто нет. 
{SMT_SENATE_OFFICE_PONTIFEX_MAXIMUS_DESCRIPTION}	Верховный жрец государственной религии Рима, контролирующий все религиозные институты, включая целомудренных весталок. Его полномочия выходят за пределы юрисдикции Сената и граждан Рима.

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 13/05/2004 09:00:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{SMT_MISSION_APPEASE_FACTION_EXPIRY_DESTROYED}		Фракция была уничтожена.  Вам не нужно больше пытаться умиротворить их.
{SMT_MISSION_ASSIST_FACTION_EXPIRY_DESTROYED}		Фракция была уничтожена. Вам не нужно больше пытаться помочь им.
{SMT_MISSION_ATTACK_OUTLAW_FACTION_EXPIRY_DESTROYED}	Преступники были уничтожены.  Вам не нужно больше преследовать их.
{SMT_MISSION_BREAK_ALLIANCE_EXPIRY_DESTROYED}		Фракция была уничтожена.  Выполнение задания уже не нужно.
{SMT_MISSION_PEACE_TALKS_EXPIRY_DESTROYED}		Фракция была уничтожена.  Выполнение задания уже не нужно.
{SMT_MISSION_CEASE_HOSTILITIES_EXPIRY_DESTROYED}	Наши друзья были уничтожены.  Выполнение задания больше не требуется.
{SMT_MISSION_DECLARE_WAR_EXPIRY_DESTROYED}		Наши враги были уничтожены.  Выполнение задания уже не нужно.
{SMT_MISSION_EXACT_TRIBUTE_EXPIRY_DESTROYED}		Фракция была уничтожена.  Вы не можете получить от них дань.  Выполнение задания больше не требуется.
{SMT_MISSION_GET_MAP_INFO_EXPIRY}			Это задание было отменено.
{SMT_MISSION_GET_MAP_INFO_EXPIRY_DESTROYED}		Фракция была уничтожена.  Выполнение задания больше не требуется.
{SMT_MISSION_GET_TRADING_RIGHTS_EXPIRY}			Это задание было отменено.
{SMT_MISSION_GET_TRADING_RIGHTS_EXPIRY_DESTROYED}	Фракция была уничтожена.  Выполнение задания больше не требуется.
{SMT_MISSION_MAKE_SUBMIT_EXPIRY_DESTROYED}		Фракция была уничтожена.  Выполнение задания больше не требуется.
{SMT_CAPABILITY_WEAPON_SIMPLE}			Совершенствует легкое оружие:
{SMT_CAPABILITY_WEAPON_BLADED}			Совершенствует тяжелое оружие:
{SMT_ARMY_UPKEEP}						Содержание армии
{SMT_STATE_ICON_ENTERTAINED}				Развлечения
{SMT_ASSISTANCE_REQUESTED_AGAINST}				Запрошена помощь против: 
{SMT_ASSISTANCE_PROVIDED_AGAINST}				Предоставлена помощь против: 
{SMT_GIVE}							Отдать: 
{SMT_PENALTY_CENSOR_IS_PLAYER_FACTION}			У вас есть друзья в высших сферах.  Похоже, что и цензор ваш друг.  Члены вашей семьи и друзья -- просто образцовые граждане.
{SMT_PENALTY_QUAESTOR_IS_PLAYER_FACTION}		У вас есть друзья в высших сферах.  Похоже, что и квестор ваш друг.  Ваши финансы в полном порядке.
{SMT_CANNOT_SET_NAVAL_RALLY_POINT_WITH_NO_PORT}	Невозможно установить пункт сбора в море, поскольку в выделенном поселении нет порта
{SMT_DIED_IN_BATTLE_TITLE}					Смерть в бою
{SMT_DIED_IN_BATTLE_DESCRIPTION}				Этот человек погиб в бою и присоединился к нашим благородным предкам в загробном мире.
{SMT_CAPITAL}					Столица:
{SMT_SHOW_VISITORS}				Показать агентов, находящихся в поселении
{SMT_SHOW_TRAVELLING_CHARACTERS}		Показать агентов, путешествующих с армией
{SMT_SHOW_TRAVELLING_CHARACTERS_NAVY}	Показать агентов, путешествующих с флотом
{SMT_RCLICK_SHOW_CHARACTERS}			Щелкните правой кнопкой мыши по закладке, чтобы просмотреть список ваших агентов
{SMT_CHARACTERS}					Агенты
{SMT_WHICH_ALLY}					Союзная армия:
{SMT_WHICH_ARMY_REQUESTED}			Запрос на помощь от:
{SMT_CAPTURED_SETTLEMENT}			Захваченное поселение:
{SMT_DENARI_GAINED_FROM_LOOTING}		Награбленные динарии:
{SMT_POPULATION_GAINED_FROM_ENSLAVE}	Население, которое следует распределить между другими поселениями:
{SMT_POPULATION_KILLED}				Население, которое должно быть уничтожено:
{SMT_CURRENTLY_BUILDING}			Выделенное здание:
{SMT_DAMAGE}					Урон:
{SMT_REPAIR_TIME}					Время ремонта:
{SMT_REPAIR_COST}					Стоимость ремонта:
{SMT_AGE}						Возраст:
{SMT_ANCILLARIES}					Свита
{SMT_RETAINERS}						Свита
{SMT_RETAINERS_UNKNOWN}					Свита неизвестна
{SMT_BREAK_SIEGE_CONFIRMATION}		Этот персонаж в настоящее время ведет осаду. Если вы отзовете его, осада автоматически будет снята.  Вы уверены, что хотите сделать это?
{SMT_NO_MORE_OFFERS_ALLOWED}			Больше предложений делать нельзя
{SMT_NO_MORE_DEMANDS_ALLOWED}			Больше требований выдвигать нельзя

¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 03/06/2004 16:48:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{SMT_UNITS}					Соединения
{SMT_SIEGE_EQUIPMENT}			Осадное снаряжение

{SMT_BREAK_SIEGE_CONFIRMATION}		Эта армия в настоящее время ведет осаду. Если вы отзовете ее, осада автоматически будет снята.  Вы уверены, что хотите сделать это?

{SMT_MISSION_MAKE_ALLIANCE_TITLE}					Заключение союза
{SMT_MISSION_MAKE_ALLIANCE_PROPOSAL}					Сенат просит вас направить дипломата в эту фракцию и заключить с ними союз.
{SMT_MISSION_MAKE_ALLIANCE_EXPIRY}					Выполнение этого задания больше не требуется. Задание отменено.
{SMT_MISSION_MAKE_ALLIANCE_EXPIRY_DESTROYED}				Фракция была уничтожена.  Вы можете больше не пытаться заключить с ними союз.
{SMT_MISSION_MAKE_ALLIANCE_FAILURE}					Сенат разочарован тем, что вам не удалось выполнить это задание.
{SMT_MISSION_MAKE_ALLIANCE_SUCCESS}					Сенат благодарит вас за успешное заключение союза с этой фракцией.
{SMT_MISSION_GIVE_CASH_TITLE}						Дать денег
{SMT_MISSION_GIVE_CASH_PROPOSAL}					Наши друзья нуждаются в финансовой поддержке. Сенат просит вас единовременно передать хотя бы одну десятую часть вашего годового дохода в эту фракцию.
{SMT_MISSION_GIVE_CASH_EXPIRY}						Выполнение этого задания больше не требуется. Задание отменено.
{SMT_MISSION_GIVE_CASH_EXPIRY_DESTROYED}				Фракция была уничтожена.  Больше не нужно снабжать их деньгами.
{SMT_MISSION_GIVE_CASH_FAILURE}						Сенат недоволен тем, что вам не удалось выполнить это задание.
{SMT_MISSION_GIVE_CASH_FAILURE_CHEAPSKATE}				Вас просили передать этой фракции хотя бы одну десятую часть вашего годового дохода. Сенат недоволен тем, что вы так и не смогли выполнить эту инструкцию.
{SMT_MISSION_GIVE_CASH_SUCCESS}						Сенат благодарит вас за пожертвование в пользу наших друзей.
{SMT_ASS_EXTERMINATE}							Эта фракция теряет силы по мере того, как война подтачивает боевой дух этого народа и уничтожает его армии. По мнению сената, эта фракция не заслуживает ничего, кроме смерти! Предайте их огню и мечу и сотрите с лица земли эту презренную расу!
{SMT_ASS_ENSLAVE}							Война с этим народом показала, что, под соответствующим контролем Рима, из них можно сделать вполне адекватных рабов. Не жалейте ни меча, ни розги! В рабство их, и пусть узнают, что такое римская цивилизация.
{SMT_ASS_MAKE_SUBMIT}							Эта фракция политически слаба, но все еще обладает некоторой военной мощью. Война может дорого обойтись нам, к тому же в ней нет особой необходимости: если мы предложим им признать наш протекторат, эти люди наверняка согласятся оценить все достоинства римской цивилизации.
{SMT_ASS_COVERT_OPS_ASS}						Этот народ необходимо ослабить, может быть даже обескровить еще до начала войны. Надо срочно заняться уничтожением их военного командования, и саботировать строительство укреплений и военных сооружений. Мы не можем отправлять свои войска на войну, которая еще не началась.
{SMT_ASS_COVERT_OPS_INCITE}						Поселения этого народа легко поддаются влиянию самых разных проповедников и бунтовщиков. Если мы направим туда шпионов, чтобы спровоцировать восстание, нам будет гораздо проще достичь своей цели и оккупировать их. Этот народ сам освободится от своих недостойных правителей и оценит все преимущества римской цивилизации.
{SMT_ASS_BLOCKADE}							Их флот слаб, порты можно блокировать! Наши корабли должны перерезать их торговые пути и лишить их средств! В конце концов, нищие не могут содержать армию, и в результате завоевание будет проще, а наши потери будут меньше.
{SMT_ASS_WORK_TOWARDS_PEACE}						Наши войны с этой фракцией проходят не особенно успешно. Если война будет тянуться и дальше, мы начнем терять свои позиции и в других провинциях. Сенат считает, что мы должны попытаться прекратить их агрессию дипломатическими способами. Позже мы можем продолжить войну, но только когда на нашей стороне будет фактор внезапности.
{SMT_ASS_ATTACK}							Дружная семья Империи может принять в свое лоно этот народ и внедрить на место их странных, противоестественных обычаев добрую римскую культуру. Когда они примут наших богов, наши законы и наше справедливое управление, их города станут великолепными образчиками римской цивилизации.
{SMT_ASS_MAKE_GIVE_CITY}						Этот народ сильно ослаблен, так что мы можем добиться нужных результатов с помощью одной дипломатии. Убеждение может сработать там, где меч бы только ожесточил их. Мы предложим им взять их поселения под свою защиту и начать мудрое управление ими. Римская цивилизация быстро вытеснит туземные обычаи!
{SMT_ASS_EXACT_TRIBUTE}							Эта фракция уже признала мощь Рима. Будет очень просто потребовать с них дань, которая наполнит наши сундуки! Пусть они платят за терпимость, которую мы проявляем к их противоестественным обычаям! 
{SMT_ASS_TRESPASS}							Настало время выхватить меч и вонзить его в самое сердце врага! Они будут возмущены нашим появлением, так что нас будет ждать кровавый бой. Ступайте на их земли, и вытащите их из-за стен, за которыми они трусливо прячутся! 
{SMT_ASS_MAKE_ATTACK}							Всем должно быть ясно, что в войне с этими людьми Рим -- потерпевшая сторона. Провокация -- необходимый инструмент искусства управления государством, так что нам потребуются 'случайные' атаки на их территорию, а также неуважительное и наглое поведение дипломатов. Пусть их ярость работает на нас. 
{SMT_ASS_BORDER_BUILDUP}						Война уже совсем близка. Настало время взяться за меч и подвести войска к границе, чтобы быстро разобраться с этим народом. 
{SMT_ASS_APPEASE}							Этот народ силен и достоин нашего уважения. Их враждебность угрожает нашей безопасности, так что сейчас самое время установить с ними более теплые отношения. Возможно, их пыл остудит небольшое подношение, торговые привилегии или информация о землях.
{SMT_ASS_GET_MAP_INFO}							Мы должны больше узнать об этом народе - где находятся их поселения, какова их боевая мощь, большая ли у них армия и каковы их ближайшие цели. Чтобы собрать всю эту информацию, надо послать туда дипломата.
{SMT_ASS_TRADE_AGREEMENT}						Мы должны прийти к какому-нибудь соглашению с этой фракцией. Лучше всего начать с торговли: когда они привыкнут иметь дело с цивилизованными римлянами, мы можем начать укреплять наши связи и познакомить их с римским порядком.
{SMT_ASS_IGNORANT}							Пока что мы очень немного знаем об этом народе и, судя по нашей информации, им практически нечего предложить нам. Когда границы нашей империи приблизятся к ним, это положение, без сомнения, изменится. А пока что у нас есть более важные дела.
{SMT_ASS_COOPERATIVE}							Мы поступим правильно, если поможем этим людям справиться с врагами. Если наши дружеские связи будут крепнуть, в один прекрасный день они могут признать наш протекторат и насладиться всеми преимуществами жизни под управлением Рима.
{SMT_ASS_MAKE_ALLIANCE}							Давайте заключим союз с этим благородным народом. В их манерах и поведении и так уже бывают проблески истинно римских добродетелей. Так что будет весьма разумно стоять плечом к плечу с ними при столкновениях со всеми общими врагами.
{SMT_ASS_MAKE_PEACE_AT_ANY_COST}					Мы должны восстановить дружеские связи с этим народом. Надо заключить мир, и предотвратить дальнейшее ухудшение наших отношений. Какой ценой нам достанется этот мир -- значения не имеет. 
{SMT_ASS_GIVE_CASH}							Нашим благородным союзникам необходима финансовая поддержка. Мы сделаем им небольшое подношение в знак того, что мы помним о нашей долгой и крепкой дружбе.
{SMT_ASS_GIVE_SUPPORT}							Наши храбрые и благородные союзники нуждаются в нашей военной поддержке. Их враги -- это и наши враги, их укрепления защищают и Рим тоже. Мы поможем им, направив армии в их земли, чтобы помочь справиться с жестоким врагом. 
{SMT_ASS_OUTLAW}							Эти некогда благородные римляне забыли, что такое честь и достоинство. Они чужие на нашей земле. Нельзя позволять им оказывать разлагающее влияние на сердца и души добропорядочных римлян. Их необходимо немедленно уничтожить. Все записи о них следует уничтожить, а их имена будут прокляты навсегда!

{SMT_STOIC_PHILOSOPHY_BODY}					Аристон Хиосский начал проповедовать стоицизм. Эта философия получила свое название от Пестрого портика Афинской агоры (по-гречески -- stoa poikile). Именно там собирались и провозглашали свои идеи стоики: дурные чувства, наподобие зависти или гнева возникают из-за ложных суждений. Человек, достигший нравственного и интеллектуального совершенства, не будет подвержен таким чувствам 

{SMT_ENEMY_AMBUSH_FAILED}					Их попытка застать вас врасплох не удалась, у вас будет время подготовиться к битве
{SMT_YOUR_AMBUSH_FAILED}					Засада не удалась, у врага будет время подготовиться к битве

{SMT_NO_BUILDINGS_IN_SETTLEMENT}			Здесь зданий нет

{SMT_EARTHQUAKE_IN_IBERIA_TITLE}				Землетрясение в Испании
{SMT_EARTHQUAKE_IN_IBERIA_BODY}				Испанский город Сагунт потрясло ужасное землетрясение, несомненно вызванное гневом Нептуна. Погибло много людей погибло, разрушен храм.

{SMT_DIPLOMACY_OFFER_THREAT_OF_ATTACK}			Обещание не атаковать
{SMT_DIPLOMACY_OFFER_DEMAND_NO_ATTACK}			Обязательство не атаковать

{SMT_SIEGE_DURATION_WHILST_UNDER_SIEGE}			Это поселение может продержаться еще %d ход(ов)


¬****************************************************************************************
¬****************************************************************************************
¬*
¬*			THIS FILE GONE FOR LOCALISATION!!!
¬*		ALL CHANGES & ADDITIONS MADE POST THE DATE SPECIFIED 
¬*			BELOW MUST GO UNDERNEATH THIS DIVIDER!!!
¬*
¬***** Changes made after 17/06/2004 13:01:00
¬*
¬****************************************************************************************
¬****************************************************************************************

{SMT_RIGHT_CLICK_FOR_CHARACTER_INFO}		Щелкните правой кнопкой по портрету полководца или знамени капитана, чтобы получить информацию о персонаже и схему армии
{SMT_ENABLE_AUTO_TRAIN}					Разрешить автоматический найм соединения
{SMT_SET_AS_CAPITAL}					Сделать это поселение столицей фракции

{SMT_SENATE_OFFICE_CENSOR_DESCRIPTION}			Важный магистрат, контролирующий соблюдение ценза и хранящий списки римских граждан и сенаторов, это означает, что именно цензор может определить, кто является римлянином, а кто нет, кто является сенатором, а кто нет. 
{SMT_SENATE_OFFICE_CONSUL_DESCRIPTION}			Занимающий самую почетную и влиятельную должность в Республике, консул управляет магистратами, армией, законотворческой деятельностью. Находясь на службе он -- царь во всем, кроме названия. 
{SMT_SENATE_OFFICE_PONTIFEX_MAXIMUS_DESCRIPTION}	Верховный жрец государственной религии Рима, контролирующий все религиозные институты, включая дев-весталок. Он полностью контролирует все вопросы, связанные с верой, и его полномочия выходят за пределы юрисдикции Сената и граждан Рима.

{SMT_REWARD_TWO_BEST_BUILDABLE_UNITS_DESCRIPTION}		Вы получите в награду два лучших соединения из тех, что вы можете нанять
{SMT_REWARD_ONE_BEST_BUILDABLE_UNIT_DESCRIPTION}		Вы получите в награду одно лучшее соединение из тех, что вы можете нанять
{SMT_REWARD_ONE_BUILDABLE_UNIT_DESCRIPTION}			Вы получите в награду одно соединение из тех, что вы можете нанять
{SMT_REWARD_CANNOT_BUILD_A_UNIT}				Вы не можете получить награду, поскольку не можете нанимать соединения

